Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
love rat,I heard Bill had an affair with his wife 's best friend ! What an adulterer he is !,I heard Bill had an affair with his wife 's best friend ! What a love rat he is !,adulterer,a love rat,"[(15, 16)]","[(14, 17)]",1
over the top,The politician was excessive with his speech and Everything he said was exaggerated .,The politician was over the top with his speech and Everything he said was exaggerated .,excessive,over the top,"[(3, 4)]","[(3, 6)]",1
in a row,He has been sick for three days consecutively .,He has been sick for three days in a row .,consecutively,in a row,"[(7, 8)]","[(7, 10)]",1
loose cannon,He was an uncontrolled person and could not be risked in front of the press .,He was a loose cannon and could not be risked in front of the press .,an uncontrolled person,a loose cannon,"[(2, 5)]","[(2, 5)]",1
out on the town,All of us slept till late afternoon after we had a good night of celebration and returned after dawn .,All of us slept till late afternoon after we had a night out on the town and returned after dawn .,good | celebration,out on the town,"[(11, 12), (14, 15)]","[(12, 16)]",2
knock one’s socks off,Lara 's performance at the concert last night impressed me .,Lara 's performance at the concert last night just knocked my socks off .,impressed me,just knocked my socks off,"[(8, 10)]","[(8, 13)]",1
die in harness,She does n't want to retire - she 'd rather die working .,She does n't want to retire - she 'd rather die in harness .,working,in harness,"[(11, 12)]","[(11, 13)]",1
get goat,She had me irritated the moment she said my mother was no good at parenting .,She got my goat the moment she said my mother was no good at parenting .,had me irritated,got | goat,"[(1, 4)]","[(1, 2), (3, 4)]",2
eager beaver,"Do n't be such a person who does more than what is expected of them , we have plenty of time to complete the task .","Do n't be such an eager beaver , we have plenty of time to complete the task .",a person who does more than what is expected | them,an eager beaver,"[(4, 13), (14, 15)]","[(4, 7)]",2
in touch,"Even though I have n't worked in sales in years , I like to be up to date with what is going on .","Even though I have n't worked in sales in years , I like to be in touch with what is going on .",up | date,touch,"[(15, 16), (17, 18)]","[(16, 17)]",2
deal with,We will have to plan our strategy to take action with the rising incident of theft .,We will have to plan our strategy to deal with the rising incident of theft .,take action,deal,"[(8, 10)]","[(8, 9)]",1
take a hike,Why do n't you go away ?,Why do n't you just take a hike ?,go away,just take a hike,"[(4, 6)]","[(4, 8)]",1
forbidden fruit is always the sweetest,The guy likes to try to have things he knows he ca n't and keeps asking her out even though she has refused him several times .,The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times .,likes to try to have things he knows he ca n't,thinks that the forbidden fruit is always the sweetest,"[(2, 13)]","[(2, 11)]",1
finishing touch,Mike was sure he would ace the auditions as he was touching up his performance .,Mike was sure he would ace the auditions as he put finishing touches on his performance .,touching up,put finishing touches on,"[(11, 13)]","[(10, 14)]",1
in the cahoots,It is usually the close circle of celebrities who are in a partnership with the paparazzi .,It is usually the close circle of celebrities who are in the cahoots with the paparazzi .,a partnership,cahoots,"[(11, 13)]","[(12, 13)]",1
start from scratch,The class has restarted the lesson to be able to understand the basics in a better manner .,The class has started the lesson from scratch to be able to understand the basics in a better manner .,restarted,started | from scratch,"[(3, 4)]","[(3, 4), (6, 8)]",2
heads up,advance caution about the upcoming appraisal cycle and my performance issues within it and I was prepared for the bad rating.I have been giving him a,heads up about the upcoming appraisal cycle and my performance issues within it and I was prepared for the bad rating.I have been giving him a,advance caution,heads up,"[(0, 2)]","[(0, 2)]",1
can't stand the sight of,"After years of being in an unhappy marriage and later going through an ugly divorce , they now hate each other .","After years of being in an unhappy marriage and later going through an ugly divorce , they now ca n't stand the sight of each other .",hate,ca n't stand the sight,"[(18, 19)]","[(18, 23)]",1
against the clock,The team was working against time to finish the project on time .,The team was working against the clock to finish the project on time .,,clock,[],"[(6, 7)]",1
in the nick of time,He arrived at the wedding almost too late .,He arrived at the wedding in the nick of time .,almost too late,in | nick of time,"[(5, 8)]","[(5, 6), (7, 10)]",2
weak in the knees,The man makes me stunned every time he kisses me .,The man makes me weak in the knees when he kisses me .,stunned every time,weak in the knees when,"[(4, 7)]","[(4, 9)]",1
on the ball,He was very knowledgable regarding his assessment of the situation .,He was right on the ball regarding his assessment of the situation .,very knowledgable,right on | ball,"[(2, 4)]","[(2, 4), (5, 6)]",2
no dice,"The children asked whether they could all go out for a camping trip , but their parents refused .","The children asked whether they could all go out for a camping trip , but no dice , their parents refused .",,no dice,[],"[(15, 17)]",1
kick the bucket,Have you heard ? The old man down the street has passed away .,Have you heard ? The old man down the street has kicked the bucket .,passed away,kicked | bucket,"[(11, 13)]","[(11, 12), (13, 14)]",2
make ends meet,We will need to start saving money in order to pay the bills .,We will need to start saving money in order to make ends meet .,pay the bills,make ends meet,"[(10, 13)]","[(10, 13)]",1
chew the fat,If I can manage to do get hold of my friends from the US after the party then I 'll go and catch up with them at our regular hangout .,If I can manage to do get hold of my friends from the US after the party then I 'll go and chew the fat with them at our regular hangout .,catch up,chew | fat,"[(22, 24)]","[(22, 23), (24, 25)]",2
set off,As soon as the alarm went off it angered the dogs and We did n't sleep at all .,As soon as the alarm went off it set off the dogs and We did n't sleep at all .,angered,set,"[(8, 9)]","[(8, 9)]",1
chill pill,Can someone please tell Matthew to relax ? We will be on time for the party .,Can someone please tell Matthew to take a chill pill ? We will be on time for the party .,relax,take a chill pill,"[(6, 7)]","[(6, 10)]",1
roll the dice,The bartender decided to try his luck and use rum for the cocktail since they were out of gin .,The bartender decided to roll the dice and use rum for the cocktail since they were out of gin .,try his luck,roll | dice,"[(4, 7)]","[(4, 5), (6, 7)]",2
the eleventh hour,"Just minutes before the deadline , he definitely submitted his assignment at the last moment possible .","Just minutes before the deadline , he definitely submitted his assignment at the eleventh hour .",last moment possible,eleventh hour,"[(13, 16)]","[(13, 15)]",1
take heart,We lost the elections - it is a part of the game but we absolutely have confidence in the apparently greater awareness and involvement of the young generation in keeping the spirit of democracy .,We lost the elections - it is a part of the game but we absolutely take heart in the apparently greater awareness and involvement of the young generation in keeping the spirit of democracy .,have confidence,take heart,"[(15, 17)]","[(15, 17)]",1
just deserts,"After the supervisor was suspended , many workers felt that he got what he deserved .","After the supervisor was suspended , many workers felt that he got his just deserts .",what | deserved,his just deserts,"[(12, 13), (14, 15)]","[(12, 15)]",2
drastic times call for drastic measures,"After all , extreme circumstances can only be resolved by extreme actions .","After all , drastic times call for drastic measures .",extreme circumstances can only be resolved by extreme actions,drastic times call for drastic measures,"[(3, 12)]","[(3, 9)]",1
you can't make an omelette without breaking a few eggs,It is true that you ca n't do well if you do n't put in the work .,It is true that you ca n't make an omelette without breaking a few eggs .,do well if | do | put in the work,make an omelette without breaking a few eggs,"[(7, 10), (11, 12), (13, 17)]","[(7, 15)]",3
raining cats and dogs,It 's raining heavily I am worried about how my kids will reach home .,It 's raining cats and dogs I am worried about how my kids will reach home .,heavily,cats and dogs,"[(3, 4)]","[(3, 6)]",1
faint of heart,This movie is not for those who are weak and You better go to bed right now .,This movie is not for those who are faint of heart and You better go to bed right now .,weak,faint of heart,"[(8, 9)]","[(8, 11)]",1
bear the brunt of,The family has taken so much criticism for the misdeed for a very long time .,The family has borne the brunt of his misdeed for a very long time .,taken so much criticism,borne | brunt of his,"[(3, 7)]","[(3, 4), (5, 8)]",2
out of the frying pan into the fire,"In a bid to gain independence , she agreed to get married early , not knowing she was going from a bad situation to a worse situation .","In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .",going from | bad situation | worse situation,jumping out of the frying pan into the fire,"[(18, 20), (21, 23), (25, 27)]","[(18, 27)]",3
wild and woolly,Their residence is totally dirty but all in all I found them to be warm people .,Their residence is totally wild and woolly but all in all I found them to be warm people .,dirty,wild and woolly,"[(4, 5)]","[(4, 7)]",1
be up on,"If you want to start teaching English to grown-up kids , you need to be well versed in it else you 're going to be unable to clarify their doubts .","If you want to start teaching English to grown-up kids , you need to be up on it else you 're going to be unable to clarify their doubts .",well versed in,up on,"[(15, 18)]","[(15, 17)]",1
running on fumes,"After two nights of continuous work , I 'm running on low energy today .","After two nights of continuous work , I 'm running on fumes today .",low energy,fumes,"[(11, 13)]","[(11, 12)]",1
at sixes and sevens,I do n't want to be in disagreement with you .,I do n't want to be at sixes and sevens with you .,in disagreement,at sixes and sevens,"[(6, 8)]","[(6, 10)]",1
throw the baby out with the bathwater,Janet quitting her job because her ex started working there is a classic example of getting rid of the good for the sake of getting rid of the bad .,Janet quitting her job because her ex started working there is a classic example of throwing out the baby with the bathwater .,getting rid | good for | sake | getting rid | bad,throwing out | baby with | bathwater,"[(15, 17), (19, 21), (22, 23), (24, 26), (28, 29)]","[(15, 17), (18, 20), (21, 22)]",5
viper in bosom,I got my friend a good position in my company and all he did is convinced my manger to get him the designation I had in the project and He was no more than a deceiver .,I got my friend a good position in my company and all he did is convinced my manger to get him the designation I had in the project and He was no more than a viper in my bosom .,deceiver,viper | bosom,"[(35, 36)]","[(35, 36), (38, 39)]",2
blowing smoke,I know your motives behind this act ; do n't try to deceive me .,I know your motives behind this act ; do n't try to blow smoke in my eyes .,deceive me,blow smoke in my eyes,"[(12, 14)]","[(12, 17)]",1
no man is an island,Having children has taught me that it is not always possible to live independently .,Having children has taught me that no man is an island .,it | not always possible to live independently,no man | an island,"[(6, 7), (8, 14)]","[(6, 8), (9, 11)]",2
pat on the back,He received a sign of appreciation from his boss from the new project that he landed,He received a pat on the back from his boss from the new project that he landed,sign of appreciation,pat on | back,"[(3, 6)]","[(3, 5), (6, 7)]",2
at death's door,Most of the survivors of the airplane crash are still on the point of dying .,Most of the survivors of the airplane crash are still at death 's door .,on | point | dying,at death 's door,"[(10, 11), (12, 13), (14, 15)]","[(10, 14)]",3
belly laugh,Her jokes are always hilarious and I attend every stand-up comedy event she holds in town .,Her belly laugh jokes are awesome and I attend every stand-up comedy event she holds in town .,always hilarious,belly laugh | awesome,"[(3, 5)]","[(1, 3), (5, 6)]",2
on the back burner,The assignment is less of a priority while I concentrate on writing this play .,The assignment is on the back burner while I concentrate on writing this play .,less of a priority,the back burner,"[(3, 7)]","[(4, 7)]",1
basket case,You should accept this job offer since this is your first job and that organization is very unproperly run .,You should accept this job offer since this is your first job and that organization is a real basket case .,very unproperly run,a real basket case,"[(16, 19)]","[(16, 20)]",1
in black and white,Bank demanded to submit the proposal in printed form .,Bank demanded to submit the proposal in black and white .,printed form,black and white,"[(7, 9)]","[(7, 10)]",1
cost an arm and a leg,"I 'd really like to have a new farm house , but it may cost me too much money .","I 'd really like to have a new farm house , but it may cost me an arm and a leg .",too much money,an arm and | leg,"[(16, 19)]","[(16, 19), (20, 21)]",2
first things first,"I 'm starving , so let 's go for dinner first .","I 'm starving , so first things first , let 's go for dinner .",,things,[],"[(6, 7)]",1
take into account,I hope my teacher will take consider the fact that I was ill just before the examination when he evaluates my test paper .,I hope my teacher will take into account the fact that I was ill just before the examination when he evaluates my test paper .,consider,into account,"[(6, 7)]","[(6, 8)]",1
happy as a clam,"Although the job does not pay very well , she is very happy there .","Although the job does not pay very well , she is as happy as a clam there .",,as | as a clam,[],"[(11, 12), (13, 16)]",2
time flies,Time goes really fast when I go to play with friends .,Time flies when I go to play with friends .,goes really fast,flies,"[(1, 4)]","[(1, 2)]",1
get over it,"I know you are bitter about losing that job , but try to get move on and find another one .","I know you are bitter about losing that job , but try to get over it and find another one .",move on,over it,"[(14, 16)]","[(14, 16)]",1
scot-free,The person went blame free even though there were many people convinced of his crime because the evidence against him was circumstantial .,The person went scot-free even though there were many people convinced of his crime because the evidence against him was circumstantial .,blame free,scot-free,"[(3, 5)]","[(3, 4)]",1
on the tip of one’s tongue,"It wo n't take me much time to remember , her name is slipping my mind .","It wo n't take me much time to remember , her name is on the tip of my tongue .",slipping | mind,on the tip of | tongue,"[(13, 14), (15, 16)]","[(13, 17), (18, 19)]",2
carry on,After the huge earthquake the children are still continuing with their shock .,After the huge earthquake the children are still carrying on with their shock .,continuing,carrying on,"[(8, 9)]","[(8, 10)]",1
cupboard love,I had suspected all along that Jane 's affair with that man was just for his stuff .,I had suspected all along that Jane 's affair with that man was just cupboard love .,for his stuff,cupboard love,"[(14, 17)]","[(14, 16)]",1
clean slate,The criminal has completed his sentence and has come out with a fresh start .,The criminal has completed his sentence and has come out as a clean slate .,with | fresh start,as | clean slate,"[(10, 11), (12, 14)]","[(10, 11), (12, 14)]",2
next of kin,We can not release the names of the soldiers killed at the battle of Normandy until we 've informed their close relatives .,We can not release the names of the soldiers killed at the battle of Normandy until we 've informed their next of kin .,close relatives,next | kin,"[(20, 22)]","[(20, 21), (22, 23)]",2
status quo,The countries are now trying to maintain a normal situation with regards to their nuclear arsenal which will help them if the situation gets any worse .,The countries are now trying to maintain a status quo with regards to their nuclear arsenal which will help them if the situation gets any worse .,normal,status quo,"[(8, 9)]","[(8, 10)]",1
rake over the coals,The teacher literally scolded her for forgetting doing her math homework .,The teacher literally raked her over the coals for forgetting doing her math homework .,scolded,raked | over the coals,"[(3, 4)]","[(3, 4), (5, 8)]",2
go through channels,If you want to get a new licence you will have to go through the correct process .,If you want to get a new licence you will have to go through the proper channels .,correct process,proper channels,"[(15, 17)]","[(15, 17)]",1
come a cropper,The minister failed as soon as she was elected .,The minister came a cropper as soon as she was elected .,failed,came a cropper,"[(2, 3)]","[(2, 5)]",1
old hat,Ask that old-fasioned person to keep out of my business and she has a lot to correct in her own life first .,Ask that old hat to keep out of my business and she has a lot to correct in her own life first .,old-fasioned person,old hat,"[(2, 4)]","[(2, 4)]",1
down to the wire,"With both teams being equally matched and putting up an exceptional display , the match was very exiting and unclear until the last moment .","With both teams being equally matched and putting up an exceptional display , the match was very exiting and went down to the wire .",unclear until | last moment,went down to | wire,"[(19, 21), (22, 24)]","[(19, 22), (23, 24)]",2
kiss and make up,"After having a heated argument the previous night , the young couple forgave each other and decided to settle their differences amicably .","After having a heated argument the previous night , the young couple kissed and made up and decided to settle their differences amicably .",forgave each other,kissed | made up,"[(12, 15)]","[(12, 13), (14, 16)]",2
smell something fishy,The manager suspected that something was wrong and started an investigation and He eventually found that 3 of the 4 employees were stealing from the store .,The manager smelled something fishy and started an investigation and He eventually found that 3 of the 4 employees were stealing from the store .,suspected | was wrong,smelled | fishy,"[(2, 3), (5, 7)]","[(2, 3), (4, 5)]",2
flog a dead horse,"He keeps trying to get his manuscripts published , but I think he is wasting his energy .","He keeps trying to get his manuscripts published , but I think he is flogging a dead horse .",wasting | energy,flogging a dead horse,"[(14, 15), (16, 17)]","[(14, 18)]",2
clear the air,"They had a huge misunderstanding , but decided to clarify by sitting together and discussing things frankly .","They had a huge misunderstanding , but decided to clear the air by sitting together and discussing things frankly .",clarify,clear the air,"[(9, 10)]","[(9, 12)]",1
it's anyone's call,I think this year 's election would be hard to predict and Both the candidates seem to have an equally divided support base .,I think this year 's election would be anyone 's call and Both the candidates seem to have an equally divided support base .,hard | predict,anyone | call,"[(8, 9), (10, 11)]","[(8, 9), (10, 11)]",2
sea change,There was a striking change in his personality after he married his wife .,There was a sea change in his personality after he married his wife .,striking,sea,"[(3, 4)]","[(3, 4)]",1
under siege,The president was criticized for his radical decisions and,The president came under siege for his radical decisions and,was criticized,came under siege,"[(2, 4)]","[(2, 5)]",1
your call,I do n't really care where we go right now for dinner and It 's your decision .,I do n't really care where we go right now for dinner and It 's your call .,decision,call,"[(16, 17)]","[(16, 17)]",1
come hell or high water,"I want to complete this report by today , come what may .","I want to complete this report by today , come hell or high water .",what may,hell or high water,"[(10, 12)]","[(10, 14)]",1
eat words,I ca n't believe that he did n't trust that we could win and He will have to take back what he said .,I ca n't believe that he did n't trust that we could win and He will have to eat his words .,take back what | said,eat his words,"[(18, 21), (22, 23)]","[(18, 21)]",2
deja vu,She suddenly had a strong sense of something happening again .,She suddenly had a strong sense of deja vu .,something happening again,deja vu,"[(7, 10)]","[(7, 9)]",1
in a huff,"June was very upset because her mother would not buy her a new pair of shoes , so she stormed out of the room in anger .","June was very upset because her mother would not buy her a new pair of shoes , so she stormed out of the room in a huff .",anger,huff,"[(25, 26)]","[(26, 27)]",1
well read,She reads a lot does not mean that she can go out on the streets and fend for herself and To be street smart is a requirement in what she wants to do .,She is well read does not mean that she can go out on the streets and fend for herself and To be street smart is a requirement in what she wants to do .,reads | lot,well read,"[(1, 2), (3, 4)]","[(2, 4)]",2
foam at the mouth,She was enraged when she heard of her child 's misdeeds .,She was foaming at the mouth when she heard of her child 's misdeeds .,enraged,foaming at the mouth,"[(2, 3)]","[(2, 6)]",1
down the drain,"Fixing that old car is just money wasted , it will never run properly again .","Fixing that old car is just money down the drain , it will never run properly again .",wasted,down the drain,"[(7, 8)]","[(7, 10)]",1
back against the wall,"The company is in trouble and if the employees do not help out now , it will be bankrupt soon .","The company has its back against the wall and if the employees do not help out now , it will be bankrupt soon .",is in trouble,has its back against | wall,"[(2, 5)]","[(2, 6), (7, 8)]",2
like father like son,I guess it 's a case of him being like his father .,"I guess it 's a case of like father , like son .",him being | his,", | son","[(7, 9), (10, 11)]","[(9, 10), (11, 12)]",2
make do,Sorry Jack ! You have to manage with the last slice of Pizza .,Sorry Jack ! You have to make do with the last slice of Pizza .,manage,make do,"[(6, 7)]","[(6, 8)]",1
earworm,This new PitBull song is really catchy and I have n't been able to get it out of my head since last week .,This new PitBull song is a real earworm and I have n't been able to get it out of my head since last week .,really catchy,a real earworm,"[(5, 7)]","[(5, 8)]",1
household name,The character is a widely recognized because people are able to identify with the struggles that he faces .,The character is a household name because people are able to identify with the struggles that he faces .,widely recognized,household name,"[(4, 6)]","[(4, 6)]",1
head over heels,Tom and Mary are deeply in love with each other and are going to get married next month .,Tom and Mary are head over heels in love with each other and are going to get married next month .,deeply,head over heels,"[(4, 5)]","[(4, 7)]",1
make sense,The presentation did not follow reason at all and It was way off the topic .,The presentation did not make sense at all and It was way off the topic .,follow reason,make sense,"[(4, 6)]","[(4, 6)]",1
come across,The men had never experienced a failure and hence did not know how to deal with it .,The men had never come across a failure and hence did not know how to deal with it .,experienced,come across,"[(4, 5)]","[(4, 6)]",1
across the board,"The improvement is seen applying to everyone , with all divisions either recording profits or reducing losses .","The improvement is seen across the board , with all divisions either recording profits or reducing losses .",applying to everyone,across the board,"[(4, 7)]","[(4, 7)]",1
piece of writing,The editorial was a good discourse .,The editorial was a fine piece of writing .,good discourse,fine piece of writing,"[(4, 6)]","[(4, 8)]",1
love at first sight,"For Sarah and Samuel , they fell in love immediately , and they have now decided to get married .","For Sarah and Samuel , it was love at first sight , and they have now decided to get married .",fell in | immediately,it was | at first sight,"[(6, 8), (9, 10)]","[(5, 7), (8, 11)]",2
self-made man,The governor has worked hard for what he has and has had properties around the city even before he joined politics .,The governor is a self-made man and has had properties around the city even before he joined politics .,worked hard for what,is a self-made man,"[(3, 7)]","[(2, 6)]",1
zoom away | zoom off,"The duo just drove away fast in the mist , the perfect ending to a fairy tale wedding .","The duo just zoomed off in the mist , the perfect ending to a fairy tale wedding .",drove away fast,zoomed off,"[(3, 6)]","[(3, 5)]",1
man's best friend,When his dog died he cried for many days in the memory of his loyal animal .,When his dog died he cried for many days in the memory of his only best friend .,loyal animal,only best friend,"[(14, 16)]","[(14, 17)]",1
point out,I have to go to the office to find the person that keeps jamming the printer .,I have to go to the office to point out the person that keeps jamming the printer .,find,point out,"[(8, 9)]","[(8, 10)]",1
back to square one,"The Government and the State Bank spent years strengthening the nation 's economy but the recession and slowdown shattered it , so we are back to the beginning .","The Government and the State Bank spent years strengthening the nation 's economy but the recession and slowdown shattered it , so we are back to square one .",beginning,square one,"[(27, 28)]","[(26, 28)]",1
have eyes only for,"Jane was a very popular girl in her college and was surrounded by admirers , but she only had interest for Steve .","Jane was a very popular girl in her college and was surrounded by admirers , but she had eyes only for Steve .",interest,eyes,"[(19, 20)]","[(18, 19)]",1
get on nerves,Put your mobile phone in a silent mode - its loud ringtone bothers me .,Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves .,bothers me,is getting on my nerves,"[(12, 14)]","[(12, 17)]",1
fall in love,My brother and his fiancee started to love each other when they went for a camping trip together with a group of friends .,My brother and his fiancee fell in love when they went for a camping trip together with a group of friends .,started to | each other,fell in,"[(5, 7), (8, 10)]","[(5, 7)]",2
get down to brass tacks,They finally got down to talking business and discussed the issue that was really bothering them .,They finally got down to brass tacks and discussed the issue that was really bothering them .,talking business,brass tacks,"[(5, 7)]","[(5, 7)]",1
on the case,The best detective from the police department is working on the case and we will be hearing about the culprit being nabbed very soon now,The best detective from the police department is on the case and we will be hearing about the culprit being nabbed very soon now,working,,"[(8, 9)]",[],1
keep your nose clean,"By avoiding the drug dealers on the corner street , James was making an effort to stay out of trouble .","By avoiding the drug dealers on the corner street , James was making an effort to keep his nose clean .",stay out of trouble,keep his nose clean,"[(16, 20)]","[(16, 20)]",1
up the ante,The government has increased the demands by refusing to negotiate with the ultras until a ceasefire has been agreed .,The government has upped the ante by refusing to negotiate with the ultras until a ceasefire has been agreed .,increased | demands,upped | ante,"[(3, 4), (5, 6)]","[(3, 4), (5, 6)]",2
take over,I ca n't believe that they were able to launch an acquisition of our company .,I ca n't believe that they were able to launch a takeover of our company .,an acquisition,a takeover,"[(10, 12)]","[(10, 12)]",1
bird of passage,She moves out nearly every year ; she 's transient .,She moves out nearly every year ; she 's a true bird of passage .,transient,a true bird of passage,"[(9, 10)]","[(9, 14)]",1
memory like a sieve,I 'm so sorry I forgot your birthday - I 've got a very bad memory !,I 'm so sorry I forgot your birthday - I 've got a memory like a sieve !,very bad,like | sieve,"[(13, 15)]","[(14, 15), (16, 17)]",2
hot potato,The issue of gun control is a political controversy in the United States .,The issue of gun control is a political hot potato in the United States .,controversy,hot potato,"[(8, 9)]","[(8, 10)]",1
be joined at the hip,Chris and Jenny have been two people who are inseparable since they started dating each other a year ago and You would never see one without the other .,Chris and Jenny have been joined at the hip since they started dating each other a year ago and You would never see one without the other .,two people who are inseparable,joined at | hip,"[(5, 10)]","[(5, 7), (8, 9)]",2
all set,"After putting the luggage in the trunk , we were prepared to go on our vacation .","After putting the luggage in the trunk , we were all set to go on our vacation .",prepared,all set,"[(10, 11)]","[(10, 12)]",1
black hole,My handbag is a place where lost things are never found again and You can try and find the keys in there but I ca n't promise anything .,My handbag is a black hole and You can try and find the keys in there but I ca n't promise anything .,place where lost things are never found again,black hole,"[(4, 12)]","[(4, 6)]",1
mind your own beeswax,"I am not asking for your opinion , keep them to yourself .","I am not asking for your opinion , mind your own beeswax .",keep them to yourself,mind | own beeswax,"[(8, 12)]","[(8, 9), (10, 12)]",2
bona fide,"The text on this website is legitimate , always .","The text on this website is bona fides , always .",legitimate,bona fides,"[(6, 7)]","[(6, 8)]",1
call names,"She was afraid that if she wore spectacles to her school , the other kids would make fun of her .","She was afraid that if she wore spectacles to her school , the other kids would call her names .",make fun of,call | names,"[(16, 19)]","[(16, 17), (18, 19)]",2
at daggers drawn,The two schools have been hostile for months and Ever since they played in the championship game .,The two schools have been at daggers drawn for months and Ever since they played in the championship game .,hostile,at daggers drawn,"[(5, 6)]","[(5, 8)]",1
tight-lipped,"When it came the time for him to share stories of this conquests , he became strangely quiet .","When it came the time for him to share stories of this conquests , he became strangely tight-lipped .",quiet,tight-lipped,"[(17, 18)]","[(17, 18)]",1
tar with the same brush,"Though the impression is that all government officials are corrupt , some of them are quite honest ; its not fair to believe that they have the same faults .","Though the impression is that all government officials are corrupt , some of them are quite honest ; its not fair to tar them with the same brush.The players of that team are a bunch of jokers , but the captain should n't be tarred with the same brush and He is a great player.He may be from the same school , but do n't tar him with the same brush . ''",believe | they have | faults,tar | with | brush.The players | team | a bunch | jokers | but | captain should n't be tarred with | brush and He | a great player.He may be from | school | but do n't tar him with | brush | '',"[(22, 23), (24, 26), (28, 29)]","[(22, 23), (24, 25), (27, 29), (31, 32), (33, 35), (36, 37), (38, 39), (40, 46), (48, 51), (52, 58), (60, 61), (62, 68), (70, 71), (72, 73)]",14
pipe down,The voice was piped down for the audience because it was too loud .,The voice was piped down for the audience because it was too loud .,,,[],[],0
as the crow flies,The nearest hotel is about 24 kilometers away directly .,The nearest hotel is about 24 kilometers away as the crow flies .,directly,as the crow flies,"[(8, 9)]","[(8, 12)]",1
keep body and soul together,"When he first came to the city , he earned barely enough to stay alive .","When he first came to the city , he earned barely enough to keep body and soul together .",stay alive,keep body and soul together,"[(13, 15)]","[(13, 18)]",1
young turk,The beginning of the young people eager for rebellion was after they started becoming organized and confident of their power and abilities .,The beginning of the young turk 's party was after they started becoming organized and confident of their power and abilities .,people eager for rebellion,turk 's party,"[(5, 9)]","[(5, 8)]",1
think outside the box,The team always thinks creatively to come up with unique advertisements for all its clients .,The team always thinks outside the box to come up with unique advertisements for all its clients .,creatively,outside the box,"[(4, 5)]","[(4, 7)]",1
mend fences,"After the nasty fight with her sister , Alice decided to repair the relationship by buying her sister some presents .","After the nasty fight with her sister , Alice decided to mend fences by buying her sister some presents .",repair | relationship,mend fences,"[(11, 12), (13, 14)]","[(11, 13)]",2
ignorance is bliss,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land because it was not thought about they were not worried .,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land because ignorance is bliss .,was not thought about they | not worried,ignorance is bliss,"[(22, 27), (28, 30)]","[(21, 24)]",2
kill two birds with one stone,"I have to go to the bank , and on the way back , I 'll pick up the groceries also , getting two tasks done at once .","I have to go to the bank , and on the way back , I 'll pick up the groceries also , killing two birds with one stone .",getting | tasks done at once,killing | birds with one stone,"[(22, 23), (24, 28)]","[(22, 23), (24, 28)]",2
chip on shoulder,He 's always picking up fights with everyone and He seems to hold a grudge .,He 's always picking up fights with everyone and He seems to have a chip on his shoulder .,hold | grudge,have | chip on his shoulder,"[(12, 13), (14, 15)]","[(12, 13), (14, 18)]",2
eat humble pie,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I 'll admit my error .,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I 'll eat humble pie .,admit my error,eat humble pie,"[(24, 27)]","[(24, 27)]",1
that's the way the cookie crumbles,"The manager was fired from his job after making such a huge mistake , but that 's the way mistakes are punished .","The manager was fired from his job after making such a huge mistake , but that 's the way the cookie crumbles .",mistakes are punished,cookie crumbles,"[(19, 22)]","[(20, 22)]",1
beat the heat,I have found that drinking a cool glass of water helps to stay cool in summer .,I have found that drinking a cool glass of water helps to beat the heat in summer .,stay,beat the heat,"[(12, 13)]","[(12, 15)]",1
dog days,"During the hot , sultry days of summer , people prefer to remain indoors and go out as little as possible .","During the dog days of summer , people prefer to remain indoors and go out as little as possible .",hot | sultry,dog,"[(2, 3), (4, 5)]","[(2, 3)]",2
a voice crying in the wilderness,The tales are interesting if you are into that kind of thing but for me it is like listening to an antisocial voice .,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .,an antisocial,a | crying in the wilderness,"[(20, 22)]","[(20, 21), (22, 26)]",2
take with a grain of salt,"I have read the article , but I do n't think it is all true .","I have read the article , but I take it with a grain of salt .",do n't think | is all true,take | with a grain of salt,"[(8, 11), (12, 15)]","[(8, 9), (10, 15)]",2
yellow streak,Ginna has a tendancy to be fainthearted which shows up the moment she is asked to stand up against Nick .,Ginna 's got a yellow streak which shows up the moment she is asked to stand up against Nick .,has | tendancy | be fainthearted,'s got | yellow streak,"[(1, 2), (3, 4), (5, 7)]","[(1, 3), (4, 6)]",3
the ball rolling,"Their relationship began when he struck that first conversation with her , she could not refuse his proposal knowing how charming he really was !","The ball was rolling when he struck that first conversation with her , she could not refuse his proposal knowing how charming he really was !",Their relationship began,The ball | rolling,"[(0, 3)]","[(0, 2), (3, 4)]",2
get the wrong end of the stick,"When Jack and Taylor arrived at the award function together , everyone misread the situation .","When Jack and Taylor arrived at the award function together , everyone got the wrong end of the stick .",misread | situation,got | wrong end of | stick,"[(12, 13), (14, 15)]","[(12, 13), (14, 17), (18, 19)]",3
