normal,metaphorical,literal_segments,metaphor_segments,literal_positions,metaphor_positions,num_differences
New documents getting disclosed with such irresponsibility.,And now they were leaking all kinds of documents.,getting disclosed with such irresponsibility,And now they were leaking all kinds of documents,"[(3, 7)]","[(1, 9)]",1
Till it acquired the form and features.,Till it took the form and features.,acquired the form,took the form,"[(3, 5)]","[(3, 5)]",1
My heart beats a bit faster when he walks in the room.,My heart skips when he walks in the room.,beats a bit faster when he walks in the room,skips when he walks in the room,"[(3, 12)]","[(3, 9)]",1
Her optimism actually made me believe in a brighter future.,Her optimism stole away these worries.,actually made me believe in a brighter future,stole away these worries,"[(3, 10)]","[(3, 6)]",1
Floors were flooded with water.,Water galloped down all over the floor.,Floors were flooded with water,galloped down all over the floor,"[(1, 5)]","[(2, 7)]",1
I had already insinuated the idea to her.,I had already planted the idea in her mind.,insinuated the idea to her,planted the idea in her mind,"[(4, 8)]","[(4, 9)]",1
I want to live in in sunshine once again.,I want to grow in sunshine once again.,live in in sunshine once again,grow in sunshine once again,"[(4, 9)]","[(4, 8)]",1
The path extended all the way to the top of the hill.,The path climbed all the way to the top of the hill.,extended all the way to the top of the hill,climbed all the way to the top of the hill,"[(3, 12)]","[(3, 12)]",1
The rich man's heart was unemotional.,The rich man had a cold heart.,man's heart was unemotional,man had a cold heart,"[(3, 6)]","[(3, 7)]",1
Sachin's truck needs petrol to run.,Sachin's truck drinks gasoline.,needs petrol to run,drinks gasoline,"[(3, 6)]","[(3, 4)]",1
This occurrence went contrary to the generally held belief .,This fact clashed against the standard theories.,This occurrence went contrary to the generally held belief,This fact clashed against the standard theories,"[(1, 10)]","[(1, 7)]",1
Oaths of homage are now obligatory that its enforcement was fiercely significant.,Oaths of homage fiercely succeeded.,are now obligatory that its enforcement was fiercely significant,fiercely succeeded,"[(4, 12)]","[(4, 5)]",1
The dancer moved fluidly across the stage.,The dancer floated across the stage.,moved fluidly across the stage,floated across the stage,"[(3, 7)]","[(3, 6)]",1
The iron in the tail of the animal was in a constat move.,The iron in the tail of the animal was a restless needle.,in a constat move,a restless needle,"[(10, 13)]","[(10, 12)]",1
I've had it up to here with your emotional dramatics.,I have had enough of your melodrama.,it up to here with your,I have had,"[(3, 8)]","[(1, 3)]",1
One of the most fearful thing for him was the fear that they might reveal everything about him.,He was worried they might spill everything about him.,One of the most fearful thing for him was,He was,"[(1, 9)]","[(1, 2)]",1
The memory of that event will always be deeply added in her mind.,The event engraved itself into her memory.,will always be deeply added in her,engraved itself into her memory,"[(6, 12)]","[(3, 7)]",1
The car crushed a toy.,The car pummeled the toy.,crushed a toy,pummeled the toy,"[(3, 5)]","[(3, 5)]",1
"In addition to her job, she had to take care of her children.",She had to juggle her job and her children.,In addition to her job,juggle her job,"[(1, 5)]","[(4, 6)]",1
She owned all the men's hearts at that party.,She Seized all the men's hearts.,at that party,Seized,"[(7, 9)]","[(2, 2)]",1
One should set goals that are in line with one's abilities.,Harmonize one's goals with one's abilities.,that are in line,Harmonize one's goals,"[(5, 8)]","[(1, 3)]",1
The sky glowed with rosy splendor.,The sky flushed with rosy splendor.,glowed with rosy splendor,flushed with rosy splendor,"[(3, 6)]","[(3, 6)]",1
The woman started laughing in a nice and pleasant way.,The woman burst in a warm laughter.,started laughing in a nice and pleasant way,burst in a warm laughter,"[(3, 10)]","[(3, 7)]",1
"The sale of the house was delayed, which was not unexpected at all.","£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .",unexpected at all,the asking price and I was not,"[(11, 13)]","[(3, 9)]",1
Death is knocking on my door.,Death is flowing at the door.,knocking on my door,flowing at the door,"[(3, 6)]","[(3, 6)]",1
we were completely surrounded by a large prairie.,we were sinking in an ocean of grass.,completely surrounded by a large prairie,sinking in an ocean of grass,"[(3, 8)]","[(3, 8)]",1
Are you going out with Michael again or are you returning back to Jennifer?,back on jennifer or are you going out with michael ?,again or are you returning back to Jennifer,back on jennifer,"[(7, 14)]","[(1, 3)]",1
My life started thirty years ago.,I embarked on life thirty years ago.,My life,I embarked on life thirty years ago,"[(1, 2)]","[(1, 7)]",1
The talk at the end of a meeting completed the meeting .,The speech crowned the meeting.,the end of a meeting,The speech crowned the meeting,"[(4, 8)]","[(1, 5)]",1
Actions are more important than words.,Actions speak louder than words.,are more important than words,speak louder than words,"[(2, 6)]","[(2, 5)]",1
Prices are getting increasingly expensive .,Prices climbed steeply.,are getting increasingly expensive,climbed steeply,"[(2, 6)]","[(2, 3)]",1
"You disagree? Okay, tell me why!","You disagree? Okay, shoot!",tell me why,shoot,"[(4, 6)]","[(4, 4)]",1
"During the boiling process, the teapot shook.",The teapot quivered as the water boiled.,the boiling process,the water boiled,"[(2, 4)]","[(5, 7)]",1
He knows exactly what the needs of the business are and then make a plan for the cure to it.,"He finds out what the needs of the business are , and prescribes the cure .",then make a plan for the cure,finds out what the needs,"[(12, 18)]","[(2, 6)]",1
Not a change happened to their features.,Not a change  came  o'er their features .,happened to their features,came o'er their features,"[(4, 7)]","[(4, 8)]",1
His playing established him as a Romantic.,His playing ensconced him as a Romantic.,established him as a Romantic,ensconced him as a Romantic,"[(3, 7)]","[(3, 7)]",1
It was disappointing to find out that my objections were put aside.,He swept aside my objections.,It was disappointing to find out that my objections,He swept aside my objections,"[(1, 9)]","[(1, 5)]",1
There were negative elements in his past things he didn't like to remember.,There were dark corners in his past things he didn't like to remember.,negative elements in his past things he didn't like to remember,dark corners in his past things he didn't like to remember,"[(3, 13)]","[(3, 13)]",1
Oaths of homage are now obligatory that its enforcement was fiercely significant.,Oaths of homage fiercely won.,are now obligatory that its enforcement was fiercely significant,fiercely won,"[(4, 12)]","[(4, 5)]",1
The creature in the middle of the sea was huge.,The animal in the middle of the sea was a mountain.,The creature in the middle of the sea was | huge,The animal in the middle of the sea was | a mountain,"[(1, 9), (10, 10)]","[(1, 9), (10, 11)]",2
"During the government's conversion of the law, the entire code was created.",The government flipped the entire law into a code.,the government's conversion of the law,The government flipped the entire law,"[(2, 7)]","[(1, 6)]",1
Primal Scream Not a name which would lead you to expect self-absorbed acoustic pieces of music .,Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .,pieces of music,doodlings,"[(14, 16)]","[(14, 14)]",1
She wore a bright yellow dress on that day.,She was dolled up yellow that day.,wore a bright yellow dress on that day,was dolled up yellow that day,"[(2, 9)]","[(2, 7)]",1
To put a hold on terrorism the American presidents need to not only monitor the big terrorists but also the groups who have possibly come out of them.,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well.",the groups who have possibly come out of them,the main terrorist organizations,"[(20, 28)]","[(12, 15)]",1
For all time to pass in this quickly and happily .,"That the time may  pass  more gayly ,",in this quickly and happily,more gayly,"[(6, 10)]","[(6, 7)]",1
You'd better keep away from Bill today because he's angry and sad.,You'd better keep away from Bill today because he's in a black mood.,angry and sad,in a black mood,"[(10, 12)]","[(10, 13)]",1
The meat was cooked in a fatty gravy.,The meat was lathered in a fatty gravy.,cooked in a fatty gravy,lathered in a fatty gravy,"[(4, 8)]","[(4, 8)]",1
My  alarm woke me up at the morning.,My alarm roared at me this morning.,woke me up at the morning,roared at me this morning,"[(3, 8)]","[(3, 7)]",1
Fearing that he would lose strength.,"Fearing lest his strength should  fail  him ,",that he would lose strength,lest his strength should fail him,"[(2, 6)]","[(2, 8)]",1
Don't eat soo fast your food!,Don't bolt your food!.,eat soo fast your food,bolt your food,"[(2, 6)]","[(2, 4)]",1
"As it was late at night, I was lying in bed.",In the depth of the night I sprawl in the bed.,As it was late at night,the depth of the night I,"[(1, 6)]","[(2, 7)]",1
his mind attempted to make the connection.,His mind groped to make the connection.,attempted to make the connection,groped to make the connection,"[(3, 7)]","[(3, 7)]",1
For the end of the year  I was completely fatigued.,For the end of the year  I was burned and broken.,completely fatigued,burned and broken,"[(9, 10)]","[(9, 11)]",1
Ask the person on table 12 whether he wants water.,Ask table 12 whether he wants water.,the person on table 12,table 12,"[(2, 6)]","[(2, 3)]",1
The news just got you all hyped up and angry.,The news inflamed your temper.,just got you all hyped up and angry,inflamed your temper,"[(3, 10)]","[(3, 5)]",1
Calm down - there's no need to get angry about it.,Calm down - there's no need to get all steamed up about it.,angry about it,all steamed up about it,"[(9, 11)]","[(9, 13)]",1
Could not experience your heart of passion.,"Could not  see  your heart of passion ,",experience,see,"[(3, 3)]","[(3, 3)]",1
The bridge is blocking the river.,The bridge hovers over the river.,is blocking the river,hovers over the river,"[(3, 6)]","[(3, 6)]",1
We need to continuously keep on learning in our lifetime.,"’Life' wrote a friend of mine, 'is a public performance on the violin, in which you must learn the instrument as you go along.”",We need to continuously keep,"Life' wrote a friend of mine, 'is a public performance","[(1, 5)]","[(1, 10)]",1
The approaching car's headlights reflected at me.,The approaching car's headlights glared at me.,reflected at me,glared at me,"[(5, 7)]","[(5, 7)]",1
 The ocean contains an extremely huge sea monster like Leviathan.,The Leviathan in the ocean is a moving country.,contains an extremely huge sea monster like Leviathan,is a moving country,"[(3, 10)]","[(6, 9)]",1
The avalanche destroyed anything standing in its way.,The avalanche polvarized  anything standing in its way.,destroyed anything standing in its way,polvarized anything standing in its way,"[(3, 8)]","[(3, 8)]",1
Ramesh's parents surely felt that he was an intelligent boy.,Ramesh's parents felt that he was a bright boy.,an intelligent,a bright,"[(8, 9)]","[(7, 8)]",1
The taste of agony was overwhelming upon my tongue.,The taste of agony laid thick upon my tongue.,was overwhelming upon my tongue,laid thick upon my tongue,"[(5, 9)]","[(5, 9)]",1
At his touch he experienced new courage,At his touch he  felt  new courage.,experienced new courage,felt new courage,"[(5, 7)]","[(5, 7)]",1
The wind was blowing strongly through the window panes,The window panes were shaking as the wind blew through them.,The wind was blowing strongly,shaking as the wind blew through them,"[(1, 5)]","[(5, 11)]",1
"So all rest are never fulfilled, hope always ends in despair.","And rest can never dwell , hope never  comes.",always ends in despair,can never,"[(8, 11)]","[(3, 4)]",1
Monty was a rich person and felt like he was in a luxurious paradise.,Monty swam in a sea of diamonds.,a rich person and felt like he was,a sea of diamonds,"[(3, 10)]","[(4, 7)]",1
John was not at the same standard as his class mates.,John loomed behind his class mates.,was not at the same standard as his class mates,loomed behind his class mates,"[(2, 11)]","[(2, 6)]",1
Because of so much pressure the government succumbed and did what the military ordered them to do.,The government bowed to the military pressure.,succumbed and did what the military,bowed,"[(8, 13)]","[(3, 3)]",1
War was a terrible thing.,War was a nightmare.,a terrible thing,a nightmare,"[(3, 5)]","[(3, 4)]",1
The approaching car's headlights blinded  me.,The approaching car's headlights looked back at me.,blinded me,looked back at me,"[(5, 6)]","[(5, 8)]",1
The after-effect of wine being him looking more laid back.,"After a glass of wine, he unfurled up a bit.",being him looking more laid back,he unfurled up a bit,"[(5, 10)]","[(6, 10)]",1
To guts the sob of my agony.,To ravage the sob of my agony.,guts the sob of my agony,ravage the sob of my agony,"[(2, 7)]","[(2, 7)]",1
They win their parents over with an optimistic vision of the world which is decidedly reassuring .,They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,an optimistic vision of the world which is decidedly reassuring,a rose-tinted vision of the world which is decidedly reassuring,"[(7, 16)]","[(7, 16)]",1
You did care a lot about what someone else said.,You were hanging yourself on someone else 's words.,did care a lot about what someone else said,were hanging yourself on someone else 's words,"[(2, 10)]","[(2, 9)]",1
The clouds were circling each other in the sky.,The clouds waltzed each other around in the sky.,were circling each other in the sky,waltzed each other around in the sky,"[(3, 9)]","[(3, 9)]",1
It may lead you to get arrested.,This may land you in jail.,to get arrested,in jail,"[(5, 7)]","[(5, 6)]",1
"She was in her middle age, therefore she lost her zest for adventure and hence travelling.",Middle age cut down her appetite for travel.,adventure and hence travelling,cut down her appetite for,"[(13, 16)]","[(3, 7)]",1
Murder begins the novel.,The novel sprouts with a murder.,begins the novel,sprouts with a murder,"[(2, 4)]","[(3, 6)]",1
He discarded all of my arguments.,He shot down all my arguments.,discarded all of my arguments,shot down all my arguments,"[(2, 6)]","[(2, 6)]",1
The entire conversation shifted to politics.,The conversation gravitated towards politics.,The entire conversation shifted to politics,The conversation gravitated towards politics,"[(1, 6)]","[(1, 5)]",1
Harmless struck the heavy war-club .,Harmless  fell  the heavy war-club .,struck the heavy war-club,fell the heavy war-club,"[(2, 5)]","[(2, 5)]",1
"When I try to object, he never listens to me and just put aside what I have to say.",He pushed aside my objections.,never listens to me and just put aside,my objections,"[(7, 14)]","[(4, 5)]",1
The Stock Market has been rising lately .,The stock market drifted upward.,has been rising lately,drifted upward,"[(4, 8)]","[(4, 5)]",1
that was a nice and fine song the girl could still remember.,The girl could still remember that sweet song.,that was a nice and fine song,that sweet song,"[(1, 7)]","[(6, 8)]",1
Fame and fortune are for real heroes.,Fame grows to the heroes.,and fortune are for real heroes,grows to the heroes,"[(2, 7)]","[(2, 5)]",1
I don't know how you will manage to convince me that story because it sounds like a ludicrous tale.,Am I supposed to gobble up that story?,because it sounds like a ludicrous tale,gobble up that story,"[(13, 19)]","[(5, 8)]",1
"If something gets etched into your memory, it means you will never forget about it.",The event dug itself into her memory.,it means you will never forget about it,The event dug itself,"[(8, 15)]","[(1, 4)]",1
The faculty meeting was highly aggressive.,The faculty meeting was a real war.,highly aggressive,a real war,"[(5, 6)]","[(5, 7)]",1
The moon reflected back at itself from the lake’s surface.,The moon winked back at itself from the lake’s surface.,reflected back at itself from the lake’s surface,winked back at itself from the lake’s surface,"[(3, 10)]","[(3, 10)]",1
Their honey moon was very pleasant,Their honey moon was a dream.,very pleasant,a dream,"[(5, 6)]","[(5, 6)]",1
He thinks these documents will be disclosed in a few years or so.,He thinks these documents will leak out soon or late.,be disclosed in a few years or so,leak out soon or late,"[(6, 13)]","[(6, 10)]",1
I was very unlucky in my life  he said.,It always rained in my life he said.,I was very unlucky,It always rained,"[(1, 4)]","[(1, 3)]",1
"Till it reached the top of heaven ,","Till it touched the top of heaven ,",reached the top of heaven,touched the top of heaven,"[(3, 7)]","[(3, 7)]",1
You can rely on me to help you any time.,You can count on me to help you any time.,rely on,count on,"[(3, 4)]","[(3, 4)]",1
I miss staring in her eyes and watching her.,I miss swimming in her eyes and watching her.,staring in her eyes,swimming in her eyes,"[(3, 6)]","[(3, 6)]",1
"As a result of the spasm, her facial muscle contracted.",The spasm whips her facial muscles.,As a result of the spasm,whips her facial,"[(1, 6)]","[(3, 5)]",1
The way they talk to us makes us feel like they are telling the truth.,Their language sways us to believe them.,feel like they are telling the truth,Their language sways us,"[(9, 15)]","[(1, 4)]",1
Earthquake hath continued deeply its tale on them.,Earthquake hath pressed deeply its tale on them.,continued deeply its tale on them,pressed deeply its tale on them,"[(3, 8)]","[(3, 8)]",1
The press was silenced.,The press was gagged.,silenced,gagged,"[(4, 4)]","[(4, 4)]",1
Middle age made her less enthusiastic about travelling.,Middle age dulled her appetite for travel.,made her less enthusiastic about travelling,dulled her appetite for travel,"[(3, 8)]","[(3, 7)]",1
And gave an answer very gravely.,And  made  answer very gravely.,gave an answer very gravely,made answer very gravely,"[(2, 6)]","[(2, 5)]",1
And the spirit stooping down.,"And the Spirit ,  stooping  earthward ,",stooping down,", stooping earthward","[(4, 5)]","[(4, 7)]",1
The forest fire moved at an exponential speed spreading around the area.,The wildfire ravaged through the forest at an amazing speed.,fire moved,The wildfire ravaged through the forest,"[(3, 4)]","[(1, 6)]",1
He brought new life into the old house.,He breathed new life into the old house.,brought new life into the old house,breathed new life into the old house,"[(2, 8)]","[(2, 8)]",1
You have to hope that the blankess will be gone and life will be better.,You have to hope that its blankness will slowly dissolve and let life in .,be gone,that its blankness will,"[(9, 10)]","[(5, 8)]",1
The judge sentenced him to go to jail.,The judge clapped him in jail.,sentenced him to go to jail,clapped him in jail,"[(3, 8)]","[(3, 6)]",1
Her attitude was so full of power and that made me not to tolerate anymore.,"Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet.",that made me not to tolerate anymore,an overbearing pizza with condescending toppings,"[(9, 15)]","[(3, 8)]",1
Other organizations could not be incorporated but could still be brought within the Central Office orbit .,Other organizations could not be absorbed but could still be brought within the Central Office orbit .,incorporated,absorbed,"[(6, 6)]","[(6, 6)]",1
The greedy businessman embezzled the company and used millions of dollars.,The businessman kited millions of dollars.,The greedy businessman embezzled the company and used millions of dollars,The businessman kited millions of dollars,"[(1, 11)]","[(1, 6)]",1
She was saddened by his refusal of her invitation.,She was crushed by his refusal of her invitation.,saddened by his refusal of her invitation,crushed by his refusal of her invitation,"[(3, 9)]","[(3, 9)]",1
I struggled with this decision for years.,I battled with this decision for years.,struggled with this decision for years,battled with this decision for years,"[(2, 7)]","[(2, 7)]",1
She was trying to push the wall with all her strength.,She hailed against the wall with all her strength.,was trying to push the wall with all her strength,hailed against the wall with all her strength,"[(2, 11)]","[(2, 9)]",1
A person who suffers a lot of problems.,Whom fate has yoked with a weight of woes.,A person who suffers a,Whom fate has yoked with a weight of,"[(1, 5)]","[(1, 8)]",1
"From whose branches hanged the mosses ,","From whose branches  trailed  the mosses ,",hanged the mosses,trailed the mosses,"[(4, 6)]","[(4, 6)]",1
As I walk through the grey mist that blocks my sight.,As I walk through the grey mist that tempers my sight.,that blocks my sight,that tempers my sight,"[(8, 11)]","[(8, 11)]",1
The sudden fame made her totally go crazy with ego.,The sudden fame burst forth her ego.,made her totally go crazy with ego,burst forth her ego,"[(4, 10)]","[(4, 7)]",1
The children appeared beautiful and fragile.,The children were roses: beautiful and forlorn.,appeared beautiful and fragile,were roses: beautiful and forlorn,"[(3, 6)]","[(3, 7)]",1
Paula tried to act all nonchalant by sitting on the cutting table in an elevated position.,Paula perched herself against the cutting table trying to look nonchalant .,tried to act all nonchalant by sitting on the cutting table | in an elevated position,perched herself against the cutting table | trying to look nonchalant,"[(2, 12), (13, 16)]","[(2, 7), (8, 12)]",2
They only finishing off their dinner with a liquor.,They polished off their dinner with a cognac.,only finishing off their dinner with a | liquor,polished off their dinner with a | cognac,"[(2, 8), (9, 9)]","[(2, 7), (8, 8)]",2
"The only thing success inspires people to do is take credit, but no one will ever be ready to take responsibility for failure.",Success is a bastard as it has many fathers; failure is an orphan with no takers.,no one will ever be ready to take responsibility for failure,a bastard as it has many fathers; failure is,"[(13, 23)]","[(3, 11)]",1
Experiencing great awe was Hiawatha.,Filled  with awe was Hiawatha.,Experiencing great awe was Hiawatha,Filled with awe was Hiawatha,"[(1, 5)]","[(1, 5)]",1
As the clouds are scattered from the skies.,"As the clouds are  swept  from heaven ,",scattered from the skies,swept from heaven,"[(5, 8)]","[(5, 8)]",1
The party was so good till she left and now it is hell.,The party dissipated as soon as she left.,and now it is hell,dissipated as soon as she left,"[(9, 13)]","[(3, 8)]",1
He felt an obscure and disquieting sexual desire.,He felt a dark sexual desire.,an obscure and disquieting sexual desire,a dark sexual desire,"[(3, 8)]","[(3, 6)]",1
The moon reflected itself from the surface of lake.,The moon glared back at itself from the lake's surface.,reflected itself from the | surface of lake,glared back at itself from the | lake's surface,"[(3, 6), (7, 9)]","[(3, 8), (9, 10)]",2
Develop the young child's character.,Form the young child's character.,Develop the young child's character,Form the young child's character,"[(1, 5)]","[(1, 5)]",1
The bad review made him feel miserable and thus diminished his confidence.,The bad review of his work deflated his self-confidence.,made him feel miserable and thus diminished his confidence,of his work deflated his self-confidence,"[(4, 12)]","[(4, 9)]",1
After the heavy rain and dark clouds a ray of light has finally shown up.,The hidden sun boomerangs with light.,the heavy rain and dark clouds a ray of light,The hidden sun boomerangs with light,"[(2, 11)]","[(1, 6)]",1
The night sky was filled with massive fireballs.,The night sky flurried with the massive bombardment.,was filled with massive fireballs,flurried with the massive bombardment,"[(4, 8)]","[(4, 8)]",1
We can count on this man.,We can lean on this man.,count on this man,lean on this man,"[(3, 6)]","[(3, 6)]",1
The delinquent reeked of smoke because he was smoking again.,The smell of smoke carpeted on the delinquent.,because he was smoking again,carpeted on the delinquent,"[(6, 10)]","[(5, 8)]",1
He bought new life into the performance.,He injected new life into the performance.,bought new life into the performance,injected new life into the performance,"[(2, 7)]","[(2, 7)]",1
"The gravy was so fatty, it made the meat taste greasy.",The meat was transfigured in a fatty gravy.,it made the meat,transfigured in a fatty gravy,"[(6, 9)]","[(4, 8)]",1
The faculty meeting was highly aggressive.,The faculty meeting was a war.,highly aggressive,a war,"[(5, 6)]","[(5, 6)]",1
The force are known for always attacking their enemy at night.,The force decimated the village at night.,are known for always attacking their enemy at night,decimated the village at night,"[(3, 11)]","[(3, 7)]",1
The fruits are preserved in eternity.,The fruits are crystalized in eternity.,preserved in eternity,crystalized in eternity,"[(4, 6)]","[(4, 6)]",1
Will you please be careful when turning it on so it doesn't get too loud?,"well don't turn it on too loud , will you ?",please be careful when turning it,well don't turn it,"[(3, 8)]","[(1, 4)]",1
The banging on the door was way too assertive now .,The pounding on the door was more assertive now.,The banging on the door was | way too assertive now,The pounding on the door was | more assertive now,"[(1, 6), (7, 11)]","[(1, 6), (7, 9)]",2
This new idea is a complete waste of time because it will never become anything.,This idea will never amount to anything.,is a complete waste of time because it will never,amount to anything,"[(4, 13)]","[(5, 7)]",1
The middle east has a problem that is bubbling up.,The middle east is fermenting.,has a problem that is bubbling up,is fermenting,"[(4, 10)]","[(4, 5)]",1
They created a shudder through my being still.,They sprouted a shudder through my being still.,created a shudder through my being still,sprouted a shudder through my being still,"[(2, 8)]","[(2, 8)]",1
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Added smoothness,with smoothness,"[(1, 2)]","[(5, 6)]",1
Still waters shaking in the wind,Still waters pool in the wind.,shaking in the wind,pool in the wind,"[(3, 6)]","[(3, 6)]",1
He is in such a hurry that he runs extremely fast.,He is in such a hurry he does not run  he flies.,that he runs extremely fast,he does not run he flies,"[(7, 11)]","[(7, 12)]",1
"Lightly drew a winding pathway for it ,","Traced a winding pathway for it ,",Lightly drew a winding pathway,Traced a winding pathway,"[(1, 5)]","[(1, 4)]",1
The man still had unpleasant and negative feelings about the situation.,The man still had heavy feelings about the situation.,unpleasant and negative feelings about the situation,heavy feelings about the situation,"[(5, 11)]","[(5, 9)]",1
he was so happy and felt an intense excitment.,He felt a wave of excitement.,was so happy and felt an intense excitment,felt a wave of excitement,"[(2, 9)]","[(2, 6)]",1
 A bunch of clouds randomly spinning around in the sky.,The clouds twirled each other around in the sky.,A bunch of clouds,twirled each other,"[(1, 4)]","[(3, 5)]",1
Words are like a sword and can have a powerful impact on someone's mind.,Words are weapons.,like a sword and can have a powerful impact on someone's mind,weapons,"[(3, 14)]","[(3, 3)]",1
They finished their dinner with a cognac.,They terminated off their dinner with a cognac.,finished their dinner with a cognac,terminated off their dinner with a cognac,"[(2, 7)]","[(2, 8)]",1
The attackers opened fire on the civilians.,The attackers spat gunshots at the civilians.,opened fire on the civilians,spat gunshots at the civilians,"[(3, 7)]","[(3, 7)]",1
The ex-slave died just a few months after gaining her freedom.,The ex-slave found freedom shortly before she died.,died just a few months after gaining her freedom,found freedom shortly before she died,"[(3, 11)]","[(3, 8)]",1
"FISA was relatively unimportant at the time, organized European and other championships and participating in the running of Olympic regattas.",fisa was then a relatively unimportant body which hosted european and other championships and participated in the running of olympic regattas,"relatively unimportant at the time, organized European | participating in the running of Olympic regattas",then a relatively unimportant body which hosted european | participated in the running of olympic regattas,"[(3, 9), (14, 20)]","[(3, 10), (15, 21)]",2
His playing established him as a Romantic.,His playing birthed him as a Romantic.,established him as a Romantic,birthed him as a Romantic,"[(3, 7)]","[(3, 7)]",1
Those galaxies were jellyfishes in the seemingly endless space.,Those galaxies were jellyfishes in the abyss of space.,the seemingly endless space,the abyss of space,"[(6, 9)]","[(6, 9)]",1
The captain was a respectable person.,The captain was a tall and noble statue.,a respectable person,a tall and noble statue,"[(4, 6)]","[(4, 8)]",1
Everyone used to love you.,You were the golden boy back then.,Everyone used to love you,were the golden boy back then,"[(1, 5)]","[(2, 7)]",1
"Guskewau , the darkness , surrounded her.","Guskewau , the darkness ,  wrapped  her.",surrounded her,wrapped her,"[(6, 7)]","[(6, 7)]",1
Rahul chugged his drink pretty quickly.,Rahul drank his glass.,chugged his drink pretty quickly,drank his glass,"[(2, 6)]","[(2, 4)]",1
The teapot shook and boiled over.,The teapot shuddered as the water boiled.,shook and boiled over,shuddered as the water boiled,"[(3, 6)]","[(3, 7)]",1
The light had taken over the dark.,Light had overgrown darkness.,taken over the dark,overgrown darkness,"[(4, 7)]","[(3, 4)]",1
Fear made him shudder all over.,Fear had changed him to a shaken jelly.,made him shudder all over,had changed him to a shaken jelly,"[(2, 6)]","[(2, 8)]",1
Asking your help  but I cannot find you because you vanished into thin air.,I asked for your help and you disappeared from radar.,vanished into thin air,disappeared from radar,"[(11, 14)]","[(8, 10)]",1
her smile was wonderful and fulfilling to see.,her smile was a blinding sun.,wonderful and fulfilling to see,a blinding sun,"[(4, 8)]","[(4, 6)]",1
He smiles all the time.,He always flashes a smile.,smiles all the time,always flashes a smile,"[(2, 5)]","[(2, 5)]",1
As I walk through the grey mist that blocks my sight.,As I walk through the grey mist that twists my sight.,that blocks my sight,that twists my sight,"[(8, 11)]","[(8, 11)]",1
A weather vane tops the building.,A weather vane caps the building.,tops the building,caps the building,"[(4, 6)]","[(4, 6)]",1
The sun is setting in the dark sky and the color is now orange.,See the sun far off a shriveled orange in a sky gone black.,the color is now orange,far off a shriveled orange,"[(10, 14)]","[(4, 8)]",1
Time passes when you're having fun.,Time flies when you're having fun.,passes when you're having fun,flies when you're having fun,"[(2, 6)]","[(2, 6)]",1
Everyone has memories that make them feel disappointed.,Every person has bitter memories.,that make them feel disappointed,Every person has,"[(4, 8)]","[(1, 3)]",1
"The muffled barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .","The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .",The muffled barking of a dog came from one of the stone sheds,The hollow barking of a dog came from one of the stone sheds,"[(1, 13)]","[(1, 13)]",1
The great age of computers has just arrived to us.,The age of computers had dawned.,has just arrived to us,had dawned,"[(6, 10)]","[(5, 6)]",1
Her hair smelled like a delicate fragrance that was lingering around me.,Of that faint fragrance rising from her soft hair.,smelled like a delicate fragrance that,rising from her soft hair,"[(3, 8)]","[(5, 9)]",1
The flower bends to and fro in the wind.,The flowers danced in the gentle breeze.,The flower bends to and fro in the wind,The flowers danced in the gentle breeze,"[(1, 9)]","[(1, 7)]",1
"In addition, the disastrous storm, destroyed the town.","In addition, the storm trampled the town.","the disastrous storm, destroyed the town",the storm trampled the town,"[(3, 8)]","[(3, 7)]",1
Most of the immigrants that have come here and now successfully part of the local community.,The immigrants were quickly absorbed into society.,that have come here and now successfully part of the,were quickly absorbed into society,"[(5, 14)]","[(3, 7)]",1
The warrior was brave and strong on the battlefield who never gives up.,The warrior was a lion on the battlefield.,who never gives up,a lion,"[(10, 13)]","[(4, 5)]",1
The setting of western movies is appealing to us because it resembles a gladiator arena with shooting guns.,"‘ Westerns have a gladiatorial , timeless quality .",The setting of western movies is appealing to us because it resembles a,Westerns have a,"[(1, 13)]","[(2, 4)]",1
The employee does not show her anger and continues as usual.,The employee swallows her anger.,does not show her anger and continues as usual,swallows her anger,"[(3, 11)]","[(3, 5)]",1
Still waters sway in the wind,Still waters groove in the wind.,sway in the wind,groove in the wind,"[(3, 6)]","[(3, 6)]",1
All the water that looks like blood!.,All the water  flushed  with crimson !.,that looks like blood,flushed with crimson,"[(4, 7)]","[(4, 7)]",1
In our relationship we had always got into a ton of arguments and frequent fights.,I was in a very stormy relationship.,we had always got into a,I was,"[(4, 9)]","[(1, 2)]",1
"It seemed from truth alone , the truth we live.","It appeared from truth alone , the truth we live.",seemed from truth alone,appeared from truth alone,"[(2, 5)]","[(2, 5)]",1
I saw the depressed and sad look on their faces.,Their faces were shrouded with sadness.,I saw the depressed and sad look on their faces,were shrouded with sadness,"[(1, 10)]","[(3, 6)]",1
