normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
"Hey, I'm just chilling at home and watching some Netflix.","Hey, I’m just vibing at home and binging some Netflix.",I'm | chilling | watching,I’m | vibing | binging,"[(1, 2), (3, 4), (7, 8)]","[(1, 2), (3, 4), (7, 8)]",3
I'm heading to the mall to hang out with my friends.,I'm gonna slide to the mall to chill with my peeps.,heading | hang out | friends.,gonna slide | chill | peeps.,"[(1, 2), (6, 8), (10, 11)]","[(1, 3), (7, 8), (10, 11)]",3
"I'm really tired after studying all day, I just want to relax now.","I'm dead tired after hitin' the books all day, just tryna chill now.",really | studying | I | want to relax,dead | hitin' the books | tryna chill,"[(1, 2), (4, 5), (7, 8), (9, 12)]","[(1, 2), (4, 7), (9, 9), (10, 12)]",4
I'm really tired today because I stayed up late watching videos.,I'm super dead today 'cause I pulled an all-nighter binge-watching vids.,really tired | because | stayed up late watching videos.,super dead | 'cause | pulled an all-nighter binge-watching vids.,"[(1, 3), (4, 5), (6, 11)]","[(1, 3), (4, 5), (6, 11)]",3
I'm just chilling at home and watching some movies.,"Just vibing at home, Netflix and chillin' all day. ",I'm just chilling | home | watching some movies.,"Just vibing | home, Netflix | chillin' all day.","[(0, 3), (4, 5), (6, 9)]","[(0, 2), (3, 5), (6, 9)]",3
I'm just going to grab some coffee and then head to the mall.,"Yo, I'm just guding some coffee and then hitting up the mall, fr fr.",going to grab | head to | mall.,"Yo, | guding | hitting up | mall, fr fr.","[(0, 0), (2, 5), (9, 11), (12, 13)]","[(0, 1), (3, 4), (8, 10), (11, 14)]",3
"Hey, I just finished my homework and I'm going to chill for a bit.","Yo, just wrapped my homework and I'm about to vibe for a sec.","Hey, I | finished | going | chill | bit.","Yo, | wrapped | about | vibe | sec.","[(0, 2), (3, 4), (8, 9), (10, 11), (13, 14)]","[(0, 1), (2, 3), (7, 8), (9, 10), (12, 13)]",5
I'm just really tired today and I don't feel like doing anything.,"I'm dead tired today and not tryna do anything, fr.",just really | I don't feel like doing anything.,"dead | not tryna do anything, fr.","[(1, 3), (6, 12)]","[(1, 2), (5, 10)]",2
"I'm really tired after working all day, I just want to relax now.","I'm mad drained after grinding all day, just tryna chill now.",really tired | working | I | want to relax,mad drained | grinding | tryna chill,"[(1, 3), (4, 5), (7, 8), (9, 12)]","[(1, 3), (4, 5), (7, 7), (8, 10)]",4
I'm just going to relax at home this weekend.,"I'm just vibing at home this weekend, no cap.",going to relax | weekend.,"vibing | weekend, no cap.","[(2, 5), (8, 9)]","[(2, 3), (6, 9)]",2
I'm just going to grab some coffee and then head to work.,"Chill, I'm just finna get some coffee and then slide to work.",going to grab | head,"Chill, | finna get | slide","[(0, 0), (2, 5), (9, 10)]","[(0, 1), (3, 5), (9, 10)]",2
I'm just tired and want to relax at home tonight.,I'm dead tired and just wanna chill at home tonight.,just | want to relax,dead | just wanna chill,"[(1, 2), (4, 7)]","[(1, 2), (4, 7)]",2
"I'm feeling pretty tired today, so I think I'll just stay home and relax.","I'm lowkey drained today, so I’m just chillin' at home to vibe.",feeling pretty tired | I think I'll | stay | and relax.,lowkey drained | I’m | chillin' at | to vibe.,"[(1, 4), (6, 9), (10, 11), (12, 14)]","[(1, 3), (5, 6), (7, 9), (10, 12)]",4
I'm going to grab some coffee before heading to work.,"Gonna get some coffee before I dip to work, no cap.",I'm going to grab | heading | work.,"Gonna get | I dip | work, no cap.","[(0, 4), (7, 8), (9, 10)]","[(0, 2), (5, 7), (8, 11)]",3
I'm going to hang out with my friends this afternoon.,"I'm finna chill with my squad later, no cap.",going to hang out | friends this afternoon.,"finna chill | squad later, no cap.","[(1, 5), (7, 10)]","[(1, 3), (5, 9)]",2
I'm just trying to finish my homework before dinner.,"I'm just tryna wrap up my homework before dinner, no cap.",trying to finish | dinner.,"tryna wrap up | dinner, no cap.","[(2, 5), (8, 9)]","[(2, 5), (8, 11)]",2
I'm just going to chill at home and listen to some music.,I'm just gonna vibe at home and crank some tunes.,going to chill | listen to | music.,gonna vibe | crank | tunes.,"[(2, 5), (8, 10), (11, 12)]","[(2, 4), (7, 8), (9, 10)]",3
I just finished my homework and I'm feeling pretty tired.,Just wrapped my homework and I'm lowkey drained rn.,I just finished | feeling pretty tired.,Just wrapped | lowkey drained rn.,"[(0, 3), (7, 10)]","[(0, 2), (6, 9)]",2
I'm just going to relax at home and watch some movies tonight.,"I'm just tryna chill at home and stream some flicks tonight, you feel me?",going to relax | watch | movies tonight.,"tryna chill | stream | flicks tonight, you feel me?","[(2, 5), (8, 9), (10, 12)]","[(2, 4), (7, 8), (9, 14)]",3
"Hey, I saw your message and I’ll reply later.","Yo, saw ur msg, I’ll holler back later.","Hey, I | your message and | reply","Yo, | ur msg, | holler back","[(0, 2), (3, 6), (7, 8)]","[(0, 1), (2, 4), (5, 7)]",3
I'm just trying to relax and enjoy my weekend.,I'm just vibing and chillin' through my weekend.,trying to relax | enjoy,vibing | chillin' through,"[(2, 5), (6, 7)]","[(2, 3), (4, 6)]",2
"Hey, let's meet up at the park later.","Yo, let's slide to the park later.","Hey, | meet up at","Yo, | slide to","[(0, 1), (2, 5)]","[(0, 1), (2, 4)]",2
I'm just tired after a long day at work.,I'm just drained after a whole day grind.,tired | long | at work.,drained | whole | grind.,"[(2, 3), (5, 6), (7, 9)]","[(2, 3), (5, 6), (7, 8)]",3
"I'm feeling pretty tired today, so I'm just going to relax at home.","I'm hella drained today, so I'm just gonna chill at home.",feeling pretty tired | going to relax,hella drained | gonna chill,"[(1, 4), (8, 11)]","[(1, 3), (7, 9)]",2
I'm really tired because I didn't sleep well last night.,"I'm so drained, I barely slept last night, fr fr.",really tired because | didn't sleep well | night.,"so drained, | barely slept | night, fr fr.","[(1, 4), (5, 8), (9, 10)]","[(1, 3), (4, 6), (7, 10)]",3
"Hey, did you catch the new movie last night?","Yo, did you peep the new flick last night?","Hey, | catch | movie","Yo, | peep | flick","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 7)]",3
"Hey, do you want to hang out with me this afternoon?","Yo, wanna vibe with me later today?","Hey, do you want to hang out | this afternoon?","Yo, wanna vibe | later today?","[(0, 7), (9, 11)]","[(0, 3), (5, 7)]",2
I'm just trying to relax and enjoy my day.,I'm just vibing and catching good vibes today.,trying to relax | enjoy my day.,vibing | catching good vibes today.,"[(2, 5), (6, 9)]","[(2, 3), (4, 8)]",2
I'm just going to chill at home and watch some shows tonight.,I'm just gonna lounges at home and binge some shows tonight.,going to chill | watch,gonna lounges | binge,"[(2, 5), (8, 9)]","[(2, 4), (7, 8)]",2
"Hey, I'm just going to grab some food before I head out.","Yo, I'm finna snag some grub before I bounce.","Hey, | just going to grab | food | head out.","Yo, | finna snag | grub | bounce.","[(0, 1), (2, 6), (7, 8), (10, 12)]","[(0, 1), (2, 4), (5, 6), (8, 9)]",4
I'm just trying to relax and watch some TV after a long day.,I'm just tryna chill and binge some shows after a long grind.,trying to relax | watch | TV | day.,tryna chill | binge | shows | grind.,"[(2, 5), (6, 7), (8, 9), (12, 13)]","[(2, 4), (5, 6), (7, 8), (11, 12)]",4
I'm just feeling a little tired today.,"I'm straight-up vibin', kinda drained today.",just feeling a little tired,"straight-up vibin', kinda drained","[(1, 6)]","[(1, 5)]",1
I'm just going to relax at home and watch some shows.,I'm just chillin' at home and binge-watching some shows.,going to relax | watch,chillin' | binge-watching,"[(2, 5), (8, 9)]","[(2, 3), (6, 7)]",2
"Hey, I'm just chilling at home and watching some videos.","Yo, I'm just vibing at home and streaming some vids.","Hey, | chilling | watching | videos.","Yo, | vibing | streaming | vids.","[(0, 1), (3, 4), (7, 8), (9, 10)]","[(0, 1), (3, 4), (7, 8), (9, 10)]",4
I'm really tired today and don't feel like going out.,I'm totally exhausted today and not tryna dip out.,really tired | don't feel like going,totally exhausted | not tryna dip,"[(1, 3), (5, 9)]","[(1, 3), (5, 8)]",2
I'm really tired today after staying up late last night.,I'm dead tired today 'cause I pull an all-nighter last night.,really | after staying up late,dead | 'cause I pull an all-nighter,"[(1, 2), (4, 8)]","[(1, 2), (4, 9)]",2
"Hey, do you want to hang out at the mall later?","Yo, you tryna slide to the mall later?","Hey, do | want | hang out at","Yo, | tryna slide","[(0, 2), (3, 4), (5, 8)]","[(0, 1), (2, 4), (5, 5)]",3
"I'm really tired today, so I think I'll stay home and relax.","I'm mad wiped today, so I'm just chillin' at home and vibing.",really tired | I think I'll stay | relax.,mad wiped | I'm just chillin' at | vibing.,"[(1, 3), (5, 9), (11, 12)]","[(1, 3), (5, 9), (11, 12)]",3
I'm just going to chill at home and watch some TV.,I'm just gonna vibe at home and binge some shows.,going to chill | watch | TV.,gonna vibe | binge | shows.,"[(2, 5), (8, 9), (10, 11)]","[(2, 4), (7, 8), (9, 10)]",3
"I'm really tired after a long day, but I still want to hang out with my friends.","I'm mad drained after a long day, but I lowkey wanna chill with my crew.",really tired | still want to hang out | friends.,mad drained | lowkey wanna chill | crew.,"[(1, 3), (9, 14), (16, 17)]","[(1, 3), (9, 12), (14, 15)]",3
I'm going to grab a coffee before work.,"Hey, I'm 체크in a coffee before hustle kicks in.",going to grab | work.,"Hey, | 체크in | hustle kicks in.","[(0, 0), (1, 4), (7, 8)]","[(0, 1), (2, 3), (6, 9)]",2
"Hey, I saw your new haircut today, and it looks really cool!","Yo, saw your new do today, and it’s mad sick!","Hey, I | haircut | it looks really cool!","Yo, | do | it’s mad sick!","[(0, 2), (5, 6), (8, 12)]","[(0, 1), (4, 5), (7, 10)]",3
I'm just really tired after a long day.,I'm hella drained after a wild day.,just really tired | long,hella drained | wild,"[(1, 4), (6, 7)]","[(1, 3), (5, 6)]",2
"I'm really tired today, so I just want to relax at home.","I'm totally drained today, just tryna chill at home.",really tired | so I | want to relax,totally drained | tryna chill,"[(1, 3), (4, 6), (7, 10)]","[(1, 3), (4, 4), (5, 7)]",3
"Hey, did you see that new movie everyone’s talking about?","Yo, did you peep that new flick everyone's vibing about?","Hey, | see | movie everyone’s talking","Yo, | peep | flick everyone's vibing","[(0, 1), (3, 4), (6, 9)]","[(0, 1), (3, 4), (6, 9)]",3
"Hey, do you want to grab lunch together today?","Yo, wanna slide out for some lunch today?","Hey, do you want to grab | together","Yo, wanna slide out for some","[(0, 6), (7, 8)]","[(0, 6), (7, 7)]",2
I'm going to grab some coffee before I head to school.,I'm finna sip some coffee before I bounce to class.,going to grab | head | school.,finna sip | bounce | class.,"[(1, 4), (8, 9), (10, 11)]","[(1, 3), (7, 8), (9, 10)]",3
I'm just going to relax and watch some YouTube videos.,"I'm just chillin' and vibin' with some YouTube, no cap.",going to relax | watch | YouTube videos.,"chillin' | vibin' with | YouTube, no cap.","[(2, 5), (6, 7), (8, 10)]","[(2, 3), (4, 6), (7, 10)]",3
"Hey, have you seen that new movie everyone's talking about?","Yo, have you peeped that new flick everyone’s vibin' on?","Hey, | seen | movie everyone's talking about?","Yo, | peeped | flick everyone’s vibin' on?","[(0, 1), (3, 4), (6, 10)]","[(0, 1), (3, 4), (6, 10)]",3
"Hey, do you want to grab some lunch after school?","Yo, wanna snag some lunch after class?","Hey, do you want to grab | school?","Yo, wanna snag | class?","[(0, 6), (9, 10)]","[(0, 3), (6, 7)]",2
I'm feeling really tired today and just want to relax at home.,"I'm super woke and just wanna chill at my crib today, lowkey exhausted.",feeling really tired today | want to relax | home.,"super woke | wanna chill | my crib today, lowkey exhausted.","[(1, 5), (7, 10), (11, 12)]","[(1, 3), (5, 7), (8, 13)]",3
I'm just really tired today and think I might stay home.,"I'm mad exhausted today, probably just gonna ghost at home.",really tired today and think I might stay,"mad exhausted today, probably | gonna ghost at","[(1, 1), (2, 10)]","[(1, 5), (6, 9)]",1
I'm just going to relax and watch some TV tonight.,I'm just vibing at home and binge-watching some shows tonight.,going to relax | watch | TV,vibing at home | binge-watching | shows,"[(2, 5), (6, 7), (8, 9)]","[(2, 5), (6, 7), (8, 9)]",3
I'm just going to grab some lunch before heading to work.,"Pulling a quick snack run before I dip to work, fr fr.",I'm just going | grab some lunch before heading to work.,"Pulling a quick snack run before I dip | work, fr fr.","[(0, 3), (4, 11)]","[(0, 8), (9, 12)]",2
I'm really excited about the concert tonight!,I'm totally hyped for the concert tonight!,really excited about,totally hyped for,"[(1, 4)]","[(1, 4)]",1
I'm really tired today because I stayed up too late last night.,I'm soooo exhausted today ’cause I was up all night last night 😴.,really tired | because | stayed | too late | night.,soooo exhausted | ’cause | was | all night | night 😴.,"[(1, 3), (4, 5), (6, 7), (8, 10), (11, 12)]","[(1, 3), (4, 5), (6, 7), (8, 10), (11, 13)]",5
"I'm really tired after the long day, so I just want to relax and watch some TV.","I'm totally drained after today, just wanna chill and binge some shows.","really tired | the long day, so I | want to relax | watch | TV.","totally drained | today, | wanna chill | binge | shows.","[(1, 3), (4, 9), (10, 13), (14, 15), (16, 17)]","[(1, 3), (4, 5), (6, 8), (9, 10), (11, 12)]",5
I was just relaxing at home and watching some TV.,"I was just vibing at home, bingeing some shows, no cap.",relaxing | home and watching | TV.,"vibing | home, bingeing | shows, no cap.","[(3, 4), (5, 8), (9, 10)]","[(3, 4), (5, 7), (8, 11)]",3
I'm just relaxing at home and watching some shows.,"Chillin' at home, vibing with some Netflix, no cap.",I'm just relaxing | home and watching | shows.,"Chillin' | home, vibing with | Netflix, no cap.","[(0, 3), (4, 7), (8, 9)]","[(0, 1), (2, 5), (6, 9)]",3
I'm just going to grab some coffee before we head out.,Gonna snag some coffee real quick before we dip out.,I'm just going to grab | head,Gonna snag | real quick | dip,"[(0, 5), (7, 7), (9, 10)]","[(0, 2), (4, 6), (8, 9)]",2
I'm just chilling at home and watching some YouTube.,"I'm just vibing at home and binge-watching some YouTube, no cap.",chilling | watching | YouTube.,"vibing | binge-watching | YouTube, no cap.","[(2, 3), (6, 7), (8, 9)]","[(2, 3), (6, 7), (8, 11)]",3
"Hey, I'm going to grab some coffee later. Do you want to come along?","Yo, I'm about to hit up Starbucks later. Wanna roll through?","Hey, | going | grab some coffee | Do you want to come along?","Yo, | about | hit up Starbucks | Wanna roll through?","[(0, 1), (2, 3), (4, 7), (8, 14)]","[(0, 1), (2, 3), (4, 7), (8, 11)]",4
I'm really excited about tomorrow's game.,I'm hyped for the game tomorrow!,really excited about tomorrow's game.,hyped for the game tomorrow!,"[(1, 6)]","[(1, 6)]",1
"Hey, do you want to hang out tonight?","Yo, wanna vibe tonight?","Hey, do you want to hang out","Yo, wanna vibe","[(0, 7)]","[(0, 3)]",1
I'm just going to relax at home tonight and watch a movie.,I'm just tryna chill at home tonight and binge a flick.,going to relax | watch | movie.,tryna chill | binge | flick.,"[(2, 5), (9, 10), (11, 12)]","[(2, 4), (8, 9), (10, 11)]",3
I was just relaxing at home and watching some videos.,"I was just chillin' at home, vibing with some vids.",relaxing | home and watching | videos.,"chillin' | home, vibing with | vids.","[(3, 4), (5, 8), (9, 10)]","[(3, 4), (5, 8), (9, 10)]",3
I'm just trying to relax and hang out with friends tonight.,I'm just tryna chill and vibe with my crew tonight.,trying to relax | hang out | friends,tryna chill | vibe | my crew,"[(2, 5), (6, 8), (9, 10)]","[(2, 4), (5, 6), (7, 9)]",3
"Hey, do you want to grab some coffee after school?","Yo, wanna hit up Starbucks after class?","Hey, do you want to grab some coffee | school?","Yo, wanna hit up Starbucks | class?","[(0, 8), (9, 10)]","[(0, 5), (6, 7)]",2
"Hey, do you want to hang out at the mall today?","Yo, you down to vibe at the mall today?","Hey, do | want | hang out","Yo, | down | vibe","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
I'm feeling really tired after that long day at work.,"I'm dead exhausted after that long grind, fr.",feeling really tired | day at work.,"dead exhausted | grind, fr.","[(1, 4), (7, 10)]","[(1, 3), (6, 8)]",2
I'm just hanging out with my friends at the mall today.,Just vibing with my squad at the mall today.,I'm just hanging out | friends,Just vibing | squad,"[(0, 4), (6, 7)]","[(0, 2), (4, 5)]",2
I'm going to meet my friends at the mall later.,"Catching my friends at the mall later, fr fr.",I'm going to meet | later.,"Catching | later, fr fr.","[(0, 4), (9, 10)]","[(0, 1), (6, 9)]",2
I'm heading out to get some coffee with my friends.,I'm off to grab some java with my squad ☕🔥,heading out | get | coffee | friends.,off | grab | java | squad ☕🔥,"[(1, 3), (4, 5), (6, 7), (9, 10)]","[(1, 2), (3, 4), (5, 6), (8, 10)]",4
"Hey, I just finished my homework and I'm gonna relax for a bit.","Yo, just wrapped my homework, finna chill for a sec.","Hey, I | finished | homework and I'm gonna relax | bit.","Yo, | wrapped | homework, finna chill | sec.","[(0, 2), (3, 4), (5, 10), (12, 13)]","[(0, 1), (2, 3), (4, 7), (9, 10)]",4
"I'm really tired today, I think I just want to stay home and relax.","I'm mad tired today, just wanna chill at home and vibe out.",really | I think I | want to stay | relax.,mad | wanna chill at | vibe out.,"[(1, 2), (4, 7), (8, 11), (13, 14)]","[(1, 2), (4, 4), (5, 8), (10, 12)]",4
"Hey, did you see the new movie that came out yesterday?","Yo, did you peep the new flick that dropped yesterday?","Hey, | see | movie | came out","Yo, | peep | flick | dropped","[(0, 1), (3, 4), (6, 7), (8, 10)]","[(0, 1), (3, 4), (6, 7), (8, 9)]",4
I'm going out to grab some coffee with my friends.,I'm bouncing to get some java with my squad.,going out | grab | coffee | friends.,bouncing | get | java | squad.,"[(1, 3), (4, 5), (6, 7), (9, 10)]","[(1, 2), (3, 4), (5, 6), (8, 9)]",4
"Hey, are you free to hang out later after school?","Yo, you chillin’ to hang out later after school?","Hey, are | free","Yo, | chillin’","[(0, 2), (3, 4)]","[(0, 1), (2, 3)]",2
I'm going to grab some coffee before class.,"I'm finna snag some java before class, fr.",going to grab | coffee | class.,"finna snag | java | class, fr.","[(1, 4), (5, 6), (7, 8)]","[(1, 3), (4, 5), (6, 8)]",3
"Hey, let's grab some coffee later.","Yo, let's snag some java later, fr.","Hey, | grab | coffee later.","Yo, | snag | java later, fr.","[(0, 1), (2, 3), (4, 6)]","[(0, 1), (2, 3), (4, 7)]",3
I'm just going to grab some lunch with my friends later.,I'm just finna chill with my squad for some grub later.,going to grab some lunch | friends,finna chill | squad for some grub,"[(2, 7), (9, 10)]","[(2, 4), (6, 10)]",2
I'm probably going to stay home and watch some movies tonight.,"I'm just chillin' at home, binge-watching some flicks tonight.",probably going to stay home and watch | movies,"just chillin' at home, binge-watching | flicks","[(1, 8), (9, 10)]","[(1, 6), (7, 8)]",2
I'm really tired today after staying up all night studying.,I'm hella exhausted today 'cause I pulled an all-nighter studiyng. ,really tired | after staying up all night studying.,hella exhausted | 'cause I pulled an all-nighter studiyng.,"[(1, 3), (4, 10)]","[(1, 3), (4, 10)]",2
"Hey, I forgot my keys at home this morning.","Bruh, I left my keys at home today, no cap!","Hey, | forgot | this morning.","Bruh, | left | today, no cap!","[(0, 1), (2, 3), (7, 9)]","[(0, 1), (2, 3), (7, 10)]",3
"Hey, I just finished my homework and I'm ready to relax.","Yo, just knocked out my homework, now I'm chillin' ✌️.","Hey, I | finished | homework and | ready to relax.","Yo, | knocked out | homework, now | chillin' ✌️.","[(0, 2), (3, 4), (5, 7), (8, 11)]","[(0, 1), (2, 4), (5, 7), (8, 10)]",4
"Hey, I saw her at the mall earlier today.","Yo, I peeped her at the mall earlier today.","Hey, | saw","Yo, | peeped","[(0, 1), (2, 3)]","[(0, 1), (2, 3)]",2
"Hey, do you want to grab some lunch later?","Yo, you down to snag some lunch later?","Hey, do | want | grab","Yo, | down | snag","[(0, 2), (3, 4), (5, 6)]","[(0, 1), (2, 3), (4, 5)]",3
"I'm just chilling at home, watching some movies.","I'm just vibing at home, catching some flicks.",chilling | watching | movies.,vibing | catching | flicks.,"[(2, 3), (5, 6), (7, 8)]","[(2, 3), (5, 6), (7, 8)]",3
I'm going to grab some coffee with my friend tomorrow.,I'm finna hit up my buddy for some coffee tomorrow.,going to grab | with my friend,finna hit up my buddy for,"[(1, 4), (6, 9)]","[(1, 7), (9, 9)]",2
"Hey, I just finished my homework and I’m ready to hang out.","Yo, just slapped that homework and I’m out here vibing now.","Hey, I | finished my | ready to hang out.","Yo, | slapped that | out here vibing now.","[(0, 2), (3, 5), (8, 12)]","[(0, 1), (2, 4), (7, 11)]",3
I'm really tired today because I didn’t get enough sleep.,I'm totally drained today 'cause I barely slept 😴.,really tired | because | didn’t get enough sleep.,totally drained | 'cause | barely slept 😴.,"[(1, 3), (4, 5), (6, 10)]","[(1, 3), (4, 5), (6, 9)]",3
"Hey, are we still on for the movie tonight?","Yo, are we still vibing for the movie tonight?","Hey, | on","Yo, | vibing","[(0, 1), (4, 5)]","[(0, 1), (4, 5)]",2
I'm going to grab a coffee with my friends later.,"I'm finna brew up some coffee with my squad later, fr.",going to grab a | friends later.,"finna brew up some | squad later, fr.","[(1, 5), (8, 10)]","[(1, 5), (8, 11)]",2
I'm just seeing what my friends are up to today.,Just vibing to see what my squad's on today.,I'm just seeing | friends are up to,Just vibing to see | squad's on,"[(0, 3), (5, 9)]","[(0, 4), (6, 8)]",2
"Hey, I was thinking about going shopping later.","Yo, I’m vibing with the idea of hitting the mall later, fr.","Hey, I was thinking about going shopping later.","Yo, I’m vibing with the idea of hitting the mall later, fr.","[(0, 8)]","[(0, 12)]",1
"I'm feeling really tired today, so I think I'll just stay home and relax.","I'm hella drained today, so I’m just gonna chill at home and vibe.",feeling really tired | I think I'll | stay | relax.,hella drained | I’m | gonna chill at | vibe.,"[(1, 4), (6, 9), (10, 11), (13, 14)]","[(1, 3), (5, 6), (7, 10), (12, 13)]",4
I'm just tired from studying all night.,I'm hella exhausted after pulling an all-nighter.,just tired from studying all night.,hella exhausted after pulling an all-nighter.,"[(1, 7)]","[(1, 7)]",1
I'm just going to chill at home tonight and watch some Netflix.,"I'm just vibing solo at home tonight, bingeing some Netflix, no cap.",going to chill | tonight and watch | Netflix.,"vibing solo | tonight, bingeing | Netflix, no cap.","[(2, 5), (7, 10), (11, 12)]","[(2, 4), (6, 8), (9, 12)]",3
I'm just tired and not in the mood to go out tonight.,I'm sooo drained and not vibing to go out tonight.,just tired | in the mood,sooo drained | vibing,"[(1, 3), (5, 8)]","[(1, 3), (5, 6)]",2
I'm really excited for the concert this weekend!,I'm super hyped for the concert this weekend!,really excited,super hyped,"[(1, 3)]","[(1, 3)]",1
I'm just going to relax and watch some Netflix tonight.,I’m just vibing and Netflix binging tonight lol.,I'm | going to relax | watch some | tonight.,I’m | vibing | binging tonight lol.,"[(0, 1), (2, 5), (6, 8), (9, 10)]","[(0, 1), (2, 3), (4, 4), (5, 8)]",4
I'm feeling really tired today after staying up late last night.,I'm totally drained today 'cause I stayed up way too late last night.,feeling really tired | after staying,totally drained | 'cause I stayed | way too,"[(1, 4), (5, 7), (8, 8)]","[(1, 3), (4, 7), (8, 10)]",2
I'm going to grab some snacks and watch a movie tonight.,I'm finna snag some snacks and binge a flick tonight.,going to grab | watch | movie,finna snag | binge | flick,"[(1, 4), (7, 8), (9, 10)]","[(1, 3), (6, 7), (8, 9)]",3
I'm just hanging out with my friends this afternoon.,I'm just vibing with my crew this arvo.,hanging out | friends | afternoon.,vibing | crew | arvo.,"[(2, 4), (6, 7), (8, 9)]","[(2, 3), (5, 6), (7, 8)]",3
I'm just going to relax and watch some videos this afternoon.,I'm just gonna chill and scroll through vids today.,going to relax | watch some videos this afternoon.,gonna chill | scroll through vids today.,"[(2, 5), (6, 11)]","[(2, 4), (5, 9)]",2
I'm just grabbing a quick coffee before heading to work.,I'm just diying with a quick brew before bouncing to work.,grabbing | coffee | heading,diying with | brew | bouncing,"[(2, 3), (5, 6), (7, 8)]","[(2, 4), (6, 7), (8, 9)]",3
I'm really tired after working all day and just want to relax.,"I'm so drained after grinding all day, just tryna chill now.",really tired | working | day and | want to relax.,"so drained | grinding | day, | tryna chill now.","[(1, 3), (4, 5), (6, 8), (9, 12)]","[(1, 3), (4, 5), (6, 7), (8, 11)]",4
I just finished my homework and I'm going to relax for a bit.,Just peaced out from my homework and I'm fin to chillax for a bit.,I just finished | going | relax,Just peaced out from | fin | chillax,"[(0, 3), (7, 8), (9, 10)]","[(0, 4), (8, 9), (10, 11)]",3
I'm just really tired and want to relax after a long day.,"I'm super drained and just wanna chill after a long day, fr.",really tired and want to relax | day.,"super drained and | wanna chill | day, fr.","[(1, 1), (2, 8), (11, 12)]","[(1, 4), (5, 7), (10, 12)]",2
I'm really tired after staying up all night studying.,I'm hella drained 'cause I pulled an all-nighter studying.,really tired after staying up all night,hella drained 'cause I pulled an all-nighter,"[(1, 8)]","[(1, 8)]",1
"Hey, do you want to grab lunch together later?","Yo, wanna bounce and get some grub later?","Hey, do you want to grab lunch together","Yo, wanna bounce and get some grub","[(0, 8)]","[(0, 7)]",1
I'm just heading to the store to pick up some snacks.,I'm just vibing to the store to snag some snacks.,heading | pick up,vibing | snag,"[(2, 3), (7, 9)]","[(2, 3), (7, 8)]",2
"Hey, did you see the new movie yesterday?","Yo, did you peep the new flick yesterday?","Hey, | see | movie","Yo, | peep | flick","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 7)]",3
I'm really tired today after working all morning.,"I'm hella drained after grindin' all morning, ngl.",really tired today | working | morning.,"hella drained | grindin' | morning, ngl.","[(1, 4), (5, 6), (7, 8)]","[(1, 3), (4, 5), (6, 8)]",3
"Hey, do you want to go grab some coffee after school?","Yo, wanna dip for some coffee after class?","Hey, do you want to go grab | school?","Yo, wanna dip for | class?","[(0, 7), (10, 11)]","[(0, 4), (7, 8)]",2
I'm going to grab some food with my friends this afternoon.,I'm hitting up grub with my squad later.,going to grab some food | friends this afternoon.,hitting up grub | squad later.,"[(1, 6), (8, 11)]","[(1, 4), (6, 8)]",2
I'm really excited because my favorite band is coming to town this weekend.,I'm super hyped 'cause my fave band is hitting the city this weekend!,really excited because | favorite | coming to town | weekend.,super hyped 'cause | fave | hitting the city | weekend!,"[(1, 4), (5, 6), (8, 11), (12, 13)]","[(1, 4), (5, 6), (8, 11), (12, 13)]",4
"Hey, I just finished my homework and I’m about to relax for a bit.","Yo, just crushed my homework and now I’m chillin’ for a sec.","Hey, I | finished | about to relax | bit.","Yo, | crushed | now | chillin’ | sec.","[(0, 2), (3, 4), (7, 7), (8, 11), (13, 14)]","[(0, 1), (2, 3), (6, 7), (8, 9), (11, 12)]",4
I'm going to grab a coffee with my friend later.,"I'm finna get coffee with my homie later, fr.",going to grab a | friend later.,"finna get | homie later, fr.","[(1, 5), (8, 10)]","[(1, 3), (6, 9)]",2
I'm just walking to the store to buy some snacks.,I'm just hoofing it to the snack spot to grab some munchies.,walking | store | buy | snacks.,hoofing it | snack spot | grab | munchies.,"[(2, 3), (5, 6), (7, 8), (9, 10)]","[(2, 4), (6, 8), (9, 10), (11, 12)]",4
I'm just going to grab some coffee and then head to the library.,"I'm just finna get some coffee and bounce to the library, fr.",going to grab | then head | library.,"finna get | bounce | library, fr.","[(2, 5), (8, 10), (12, 13)]","[(2, 4), (7, 8), (10, 12)]",3
"I'm really tired after a long day, I just want to relax.","I'm so drained after today, just wanna chill and kick back.","really tired | a long day, I | want to relax.","so drained | today, | wanna chill and kick back.","[(1, 3), (4, 8), (9, 12)]","[(1, 3), (4, 5), (6, 11)]",3
I'm just going to relax at home and watch some movies today.,I'm just chillin' at home and binge-watching some flicks today.,going to relax | watch | movies,chillin' | binge-watching | flicks,"[(2, 5), (8, 9), (10, 11)]","[(2, 3), (6, 7), (8, 9)]",3
I'm going to hang out with my friends at the mall later.,"I'm about to LITty with my crew at the mall later, fr fr.",going | hang out | friends | later.,"about | LITty | crew | later, fr fr.","[(1, 2), (3, 5), (7, 8), (11, 12)]","[(1, 2), (3, 4), (6, 7), (10, 13)]",4
