normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
Dantès ' friend Sidney Blackmer ( Fernand Mondego ) accompanies him to the jail .,"The friend of Dantès , Fernand Mondego ( Sidney Blackmer ) , accompanies him to the jail .",Dantès ' | Sidney Blackmer (,"The | of Dantès , | ( Sidney Blackmer | ,","[(0, 2), (3, 6)]","[(0, 1), (2, 5), (7, 10), (11, 12)]",4
"Ingham wrote that in December , 1872 the college newspaper , the `` Algona Collegian '' reported the following tuition :","Ingham wrote that in December 1872 the college newspaper , the `` Algona Collegian '' , reported the following tuition fees :",",",", | fees","[(5, 6)]","[(15, 16), (20, 21)]",2
"She grew heavily attracted to him and tried to seduce him into a sexual relationship , but Hanuvant Singh was religious in thought and did not go for incest .","She was heavily attracted to him and tried to seduce him into a sexual relationship , but Hanuvant Singh was religious in thought and did not go to incest .",grew | for,was | to,"[(1, 2), (27, 28)]","[(1, 2), (27, 28)]",2
"In 1949 , he was admitted to the New York City Bar Association and began practice in New York .",He was admitted to the New York bar in 1949 and commenced practice in New York City .,"In 1949 , he | City Bar Association | began",He | bar in 1949 | commenced | City,"[(0, 4), (10, 13), (14, 15)]","[(0, 1), (7, 10), (11, 12), (16, 17)]",4
"As an official Soviet artist , his work was widely exhibited and well received .","As an official Soviet artist , his work was well received and exhibited widely .",widely exhibited and,and exhibited widely,"[(9, 12)]","[(11, 14)]",1
The Sâmbăta river is a tributary of the River Piatra Caprei in Romania .,The Sâmbăta River is a tributary of the Piatra Caprei River in Romania .,river | River,River | River,"[(2, 3), (8, 9)]","[(2, 3), (10, 11)]",2
The Gill family closed the mill in 1968 and sold them to the new owners in 1980 .,"The Gill family closed the mill in 1968 , and the new owners sold it in 1980 .",sold them to,", | sold it","[(9, 12)]","[(8, 9), (13, 15)]",2
The city of Oklahoma City has designated Santa Fe railway station as the location for intermodal transit for the city and the greater area .,The City of Oklahoma City has designated the Santa Fe station as the location for intermodal transit services for the city and metropolitan area .,city | railway | the greater,City | the | services | metropolitan,"[(1, 2), (9, 10), (21, 23)]","[(1, 2), (7, 8), (17, 18), (22, 23)]",4
At the Anglo-Chinese School he took night lessons on the English language .,He took night classes on the English language at the Chinese-Anglo School .,At the Anglo-Chinese School he | lessons,He | classes | at the Chinese-Anglo School,"[(0, 5), (7, 8)]","[(0, 1), (3, 4), (8, 12)]",3
"There is a national motorway connecting Washim , Kanergaon , Nanded , Amrawati , Hingoli and Akola .","There is a National Highway connecting Washim , Kanergaon , Akola , Amrawati , Hingoli and Nanded .",national motorway | Nanded | Akola,National Highway | Akola | Nanded,"[(3, 5), (10, 11), (16, 17)]","[(3, 5), (10, 11), (16, 17)]",3
He was elected President of the Assam Football Association and the Assam Sports Council for several terms ; he was also the Vice-President of the Assam Cricket Association .,"He was elected President of the Assam Football Association and the Assam Sports Council for several terms , and he was also Vice-President of the Assam Cricket Association .",; | the,", and","[(17, 18), (21, 22)]","[(17, 19)]",1
The river Fădimac is a tributary of the River Bega in Romania .,The Fădimac River is a tributary of the Bega River in Romania .,river | River,River | River,"[(1, 2), (8, 9)]","[(2, 3), (9, 10)]",2
The music of the film was composed by Vijaya Bhaskar and lyrics for the soundtrack written by Chi . Udaya Shankar and Vijaya Narasimha .,The music of the film was composed by Vijaya Bhaskar and written lyrics for the soundtrack of Chi Udaya Shankar and Vijaya Narasimha .,written by | .,written | of,"[(15, 17), (18, 19)]","[(11, 12), (16, 17)]",2
"Part of the neighborhood has been connected to Santa Clara County , while the rest consists of non-registered areas of San Jose .","Part of the neighborhood has been annexed to Santa Clara County , while the rest consists of unincorporated areas of San Jose .",connected | non-registered,annexed | unincorporated,"[(6, 7), (17, 18)]","[(6, 7), (17, 18)]",2
"The work on this manuscript was started in 1426 on the orders of the Timurid Prince Baysonghor Mirza and completed four years later , in 1430 .","The work on this manuscript was started in 1426 at the order of Baysonghor Mirza , the Timurid prince , and was completed on 1430 , four years later .","on | orders | the Timurid Prince | , in 1430","at | order | , the Timurid prince , | was | on 1430 ,","[(9, 10), (11, 12), (13, 16), (23, 26)]","[(9, 10), (11, 12), (15, 20), (21, 22), (23, 26)]",5
"The present ( from 2013 to 2017 ) Mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1 .","Today ( from 2013 to 2017 ) the mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1st .",The present | Mayor | 1,Today | the mayor | 1st,"[(0, 2), (8, 9), (27, 28)]","[(0, 1), (7, 9), (27, 28)]",3
"Crocker moved from Natchez , Mississippi to Vidalia , the seat of Concordia Parish , and crossed toward the lower Ouachita in the section called the Black River .","Crocker moved from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .",seat | toward | the,headquarters | the,"[(10, 11), (17, 18), (25, 26)]","[(10, 11), (12, 13)]",2
Nar-Dos developed the critical Armenian trend of psychological realism by displaying refined Armenian language .,Nar-Dos developed the Armenian critical trend of psychological realism displaying refined Armenian language .,critical | by,critical,"[(3, 4), (9, 10)]","[(4, 5)]",1
She married Edmund Ashfield and after his death Richard Glanville .,She was married to Edmund Ashfield and Richard Glanville after his death .,Richard Glanville,was | to | Richard Glanville,"[(8, 10)]","[(1, 2), (3, 4), (7, 9)]",3
"During the five days of the journey , he brought some books about Elba which he studied from Fontainebleau .","During the five days of the journey he brought with him some books about Elba , which he studied from Fontainebleau .",",","with him | ,","[(7, 8)]","[(9, 11), (15, 16)]",2
Sparrow convinces Turner that Elizabeth can be freed by using the magic compass to find the chest .,Sparrow convinces Turner that Elizabeth can be freed with the magic compass to find the chest .,by using,with,"[(8, 10)]","[(8, 9)]",1
"La Unión is a town in Ezeiza Partido , in the Greater Buenos Aires , Argentina .","La Unión is a city in Ezeiza Partido , in the Greater Buenos Aires , Argentina .",town,city,"[(4, 5)]","[(4, 5)]",1
"In 1923 , John Archibald Maharg was an independent member of the opposition leader , and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .","Independent member John Archibald Maharg served as leader of the opposition in 1923 and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .","In 1923 , | was an independent member | leader ,",Independent member | served as leader | in 1923,"[(0, 3), (6, 10), (13, 15)]","[(0, 2), (5, 8), (11, 13)]",3
"The joint administration of the memorial by the National Park Service and the United States Navy was established on September 9 , 1980 .",The joint management of the memorial by the United States Navy and the National Park Service was founded on 9 September 1980 .,"administration | National Park Service and the | established | September | ,",management | and the National Park Service | founded | September,"[(2, 3), (8, 13), (17, 18), (19, 20), (21, 22)]","[(2, 3), (11, 16), (17, 18), (20, 21)]",4
Pérez also interned with Telemundo where she produced and anchored an entertainment segment for Telemundo Internacional .,"Pérez also practiced with Telemundo , where she anchored and produced an entertainment segment for Telemundo Internacional .",interned | produced and,"practiced | , | and produced","[(2, 3), (7, 9)]","[(2, 3), (5, 6), (9, 11)]",3
"After extensive traveling through Asia and a bit of Africa and Europe , the couple settled in New York City , New York .","After extensive travels through Asia and a piece of Africa and Europe , the couple settled in New York City , New York .",traveling | bit,travels | piece,"[(2, 3), (7, 8)]","[(2, 3), (7, 8)]",2
"Mouhoun is one of 45 provinces in the Boucle du Mouhoun region and is located in Burkina Faso , the capital of Mouhoun is Dédougou .",Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .,"in the | region | located | , the",the | of | Region | . The,"[(6, 8), (11, 12), (14, 15), (18, 20)]","[(4, 5), (7, 8), (11, 12), (17, 19)]",4
"It is found on Quartzite hills in the Moora region of Western Australia near Wheatbelt , where it is often grown with gravel in sandy soils .","It is found on quartzite hills in the Moora region of Western Australia near Wheatbelt , where it grows in sandy soils often with gravel .",Quartzite | is often grown with gravel,quartzite | grows | often with gravel,"[(4, 5), (18, 23)]","[(4, 5), (18, 19), (22, 25)]",3
Daniel Pollack announced in February 2016 that Argentina had reached an agreement with Paul Singer .,"In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .",in February 2016 | an,"In February 2016 ,","[(3, 6), (10, 11)]","[(0, 4)]",1
"The treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .","Treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .",The treatment,Treatment,"[(0, 2)]","[(0, 1)]",1
The Charge Spear is a large spear that can be `` charged '' to form a sharpened organic blade that can be used to stab foes .,The Charge Spear is a large spear that can be `` charged to form a sharpened organic blade that can be used to strike enemies .,'' | stab foes,strike enemies,"[(12, 13), (24, 26)]","[(23, 25)]",1
"It is located next to the hamlet of Hickstead , to the west of Burgess Hill and adjacent to the main road A23 from London to Brighton .","It is located adjacent to the hamlet of Hickstead , to the west of Burgess Hill and next to the main A23 road from London to Brighton .",next | adjacent | road,adjacent | next | road,"[(3, 4), (17, 18), (21, 22)]","[(3, 4), (17, 18), (22, 23)]",3
"Hidalgo was born in Seville , who played for Badajoz and Celta de Vigo .","Born in Seville , Hidalgo played for Badajoz and Celta de Vigo .",Hidalgo was born | who,Born | Hidalgo,"[(0, 3), (6, 7)]","[(0, 1), (4, 5)]",2
"Hardin Independent School District is a public school district located in Hardin , USA ( Texas ) .","Hardin Independent School District is a public school district based in Hardin , Texas ( USA ) .",located | USA (,based | ( USA,"[(9, 10), (13, 15)]","[(9, 10), (14, 16)]",2
The river Bazga is a tributary of the Bohotin River in Romania .,The Bazga River is a tributary of the Bohotin River in Romania .,river,River,"[(1, 2)]","[(2, 3)]",1
"The conclusions are that we are all perfect spiritual notions of one divine spirit and manifest the spirit , not a material body .","The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , not a material body .",notions | spirit | the spirit,"ideas | the | Mind , | Spirit","[(9, 10), (13, 14), (16, 18)]","[(9, 10), (11, 12), (14, 16), (18, 19)]",4
"Taizhou railway station ( Zhejiang Province ) is a railway station of Yongtaiwen Railway located in Taizhou , Zhejiang , People 's Republic of China .","Taizhou Station ( Zhejiang province ) is a train station of Yongtaiwen Railway in Taizhou , Zhejiang , People 's Republic of China .",railway station | Province | railway | located,Station | province | train,"[(1, 3), (5, 6), (9, 10), (14, 15)]","[(1, 2), (4, 5), (8, 9)]",3
"The awards have often bypassed the great try scorer , winning captain or top International player .","The awards have often bypassed the great Try scorer , winner - captain or international top player .",try | winning | International,Try | winner - | international,"[(7, 8), (10, 11), (14, 15)]","[(7, 8), (10, 12), (14, 15)]",3
"The Handbook of the Birds of India and Pakistan is the `` magnum opus '' of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .","The Handbook of the Birds of India and Pakistan is the `` Magnum Opus '' of the Indian ornithologist S. Dillon Ripley , written together with Salim Ali .",magnum opus | along,Magnum Opus | the | together,"[(12, 14), (23, 24)]","[(12, 14), (16, 17), (24, 25)]",3
The moai statues of Chile ( Easter Island ) appear as enemies in several `` Gradius '' games .,The Moai statues of Chile ( Easter Island ) appear in several `` gradius '' plays as enemies .,moai | as enemies | Gradius | games,Moai | gradius | plays as enemies,"[(1, 2), (10, 12), (15, 16), (17, 18)]","[(1, 2), (13, 14), (15, 18)]",3
"This procedure requires a manual arrangement and is not pure statistically , since arbitrary adjustments can be made .",This method requires manual arrangement and is not statistically pure since arbitrary adjustments can be made .,"procedure | a | pure | ,",method | pure,"[(1, 2), (3, 4), (9, 10), (11, 12)]","[(1, 2), (9, 10)]",2
"In Enzo , the replacement guitarist who inspired her to new creative heights , she finds new hope and friendship .","She finds new hope and friendship in Enzo , the replacement guitarist who inspires her to reach new creative heights .","In | inspired | , she finds new hope and friendship",She finds new hope and friendship in | inspires | reach,"[(0, 1), (7, 8), (13, 20)]","[(0, 7), (13, 14), (16, 17)]",3
"Almost the whole area is part of the Sandia Mountain Wilderness , including the Cibola National Forest .","Almost the entire range is part of the Sandia Mountain Wilderness area , including the Cibola National Forest .",whole area,entire range | area,"[(2, 4)]","[(2, 4), (11, 12)]",2
He was the only and the only Australian Architect in the group .,He was the only Australian and the only architect within the group .,Australian Architect in,Australian | architect within,"[(7, 10)]","[(4, 5), (8, 10)]",2
Another Dutch silversmith who worked in the auricular style was Thomas Bogaert .,Another Dutch silversmith who worked in an auricular style was Thomas Bogaert .,the,an,"[(6, 7)]","[(6, 7)]",1
"After serving in various headquarters and troops , major-general in 1951 , lieutenant in 1955 and was promoted to the rank of general in 1959 .","After serving in various headquarters and troops , in 1951 General Major , Lieutenant in 1955 and was promoted to the rank of General in 1959 .",major-general | lieutenant | general,General Major | Lieutenant | General,"[(8, 9), (12, 13), (22, 23)]","[(10, 12), (13, 14), (23, 24)]",3
"Based on the city of Baltimore , never visited , only mentioned in the show .","Based on the city of Baltimore , only mentioned , has never visited in the show .","never visited ,",", has never visited","[(7, 10)]","[(9, 13)]",1
The expansion of China Airlines political presence has long been limited by the international status of Taiwan .,The expansion of China Airlines ' political presence has long been limited by Taiwan 's international status .,the | of Taiwan,' | Taiwan 's,"[(12, 13), (15, 17)]","[(5, 6), (13, 15)]",2
"Brighton Beach railway station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburb of Brighton .","Brighton Beach Railway Station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburbs of Brighton .",railway station | suburb,Railway Station | suburbs,"[(2, 4), (20, 21)]","[(2, 4), (20, 21)]",2
"Writers for the project included Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston .","Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston included in the project .",Writers for the project included,included in the project,"[(0, 5)]","[(17, 21)]",1
"His son Ii Naomasa was adopted by Naotora , and became a feared general under Tokugawa Ieyasu who is considered one of his Four Guardians .","His son , Ii Naomasa , was adopted by Naotora and , under Tokugawa Ieyasu , became a dreaded general , who is considered one of his four guardians .",", | became a feared general | Four Guardians",", | , | , | , became a dreaded general , | four guardians","[(8, 9), (10, 14), (23, 25)]","[(2, 3), (5, 6), (11, 12), (15, 21), (27, 29)]",5
"Jorge Osvaldo García recovered successfully , but was not ejected .",Capitán Jorge Osvaldo García successfully recovered but was not ejected .,"recovered | ,",Capitán | recovered,"[(3, 4), (5, 6)]","[(0, 1), (5, 6)]",2
"In the same year , technologyreview.com won second place at MPA Digital Awards for the best business or news website and third place for the best online video or the best video series .","That same year , technologyreview.com won second place in the MPA Digital Awards for best business or news Website and third place for best online video or video series .",In the | at | the | website | the | the best,That | in the | Website,"[(0, 2), (9, 10), (14, 15), (19, 20), (24, 25), (29, 31)]","[(0, 1), (8, 10), (18, 19)]",3
"According to the Indian census 2011 , the population is of Samdari 25012 , where the male population is 12805 and female population is 12207 .","According to the Indian Census 2011 , the population of Samdari is 25012 , where male population is 12805 and female population is 12207 .",census | is | the,Census | is,"[(4, 5), (9, 10), (15, 16)]","[(4, 5), (11, 12)]",2
"Mendota is a former settlement located in Fresno County , California , north of Warsaw , near the Pueblo de las Juntas .","Mendota is a former settlement in Fresno County , California . It was located north of Warsaw near the site of Pueblo de las Juntas .","located | , | ,",. It was located | site of,"[(5, 6), (11, 12), (15, 16)]","[(10, 14), (19, 21)]",2
Sometimes already assigned codes were reused or the previously allocated x00 codes were spared .,Sometimes already assigned codes were reused or the x00 codes assigned previously were spared .,previously allocated,assigned previously,"[(8, 10)]","[(10, 12)]",1
Now Shiva has to face Manivasagam and his men to win the love between him and Bharati .,Now Shiva Manivasagam and his men must face to win the love between him and Bharati .,has to face,must face,"[(2, 5)]","[(6, 8)]",1
"Lukaszuk has two daughters , one with his current wife , news spokesperson Stacey Brotzel CTV Edmonton and one with his former wife .","Lukaszuk has two daughters , one with his current wife , news anchor Stacey Brotzel CTV Edmonton and one with his previous wife .",spokesperson | former,anchor | previous,"[(12, 13), (21, 22)]","[(12, 13), (21, 22)]",2
"A historical figure is a famous person in history , such as Catherine the Great , Napoleon , Washington , or Abraham Lincoln .","A historical figure is a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .",Catherine,Katharina,"[(12, 13)]","[(12, 13)]",1
"This species is present in Italy , France and in Switzerland .","This species is present in Switzerland , in France and in Italy .",Italy | Switzerland,Switzerland | in | Italy,"[(5, 6), (10, 11)]","[(5, 6), (7, 8), (11, 12)]",3
Ruth Stuber married Armand L. Jeanne ( b . 1941 ) .,"In 1941 , Armand L. Jeanne married Ruth Stuber .",Ruth Stuber married | ( b | 1941 ) .,"In 1941 , | married Ruth Stuber","[(0, 3), (6, 8), (9, 12)]","[(0, 3), (6, 9)]",2
"In the documentary `` The Gettysburg Address '' of 2015 , Edward Everett is portrayed by the actor Ed Asner .","In the 2015 documentary film `` The Gettysburg Address '' , Edward Everett is portrayed by actor Ed Asner .",of 2015 | the,2015 | film,"[(8, 10), (16, 17)]","[(2, 3), (4, 5)]",2
The singer debuted in 1993 at the Metropolitan Opera as Hans Foltz in `` Die Meistersinger von Nürnberg '' by Richard Wagner .,The singer debuted at the Metropolitan Opera in 1993 as Hans Foltz in `` Die Meistersinger von Nürnberg '' by Richard Wagner .,in 1993,in 1993,"[(3, 5)]","[(7, 9)]",1
"For almost four decades , Mohsin Zaidi lived in Lucknow before settling after retirement in Delhi .",Mohsin Zaidi lived in Lucknow for nearly four decades before settling down in Delhi after retirement .,"For almost four decades , | after retirement",for nearly four decades | down | after retirement,"[(0, 5), (12, 14)]","[(5, 9), (11, 12), (14, 16)]",3
"In November and December 2015 , with the weakening in the Canadian dollar , manufacturing sales and exports increased and employment rose .","With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .","In November and December 2015 , with | in | increased | rose","With | of | rose in November and December 2015 , | increased","[(0, 7), (9, 10), (18, 19), (21, 22)]","[(0, 1), (3, 4), (12, 19), (21, 22)]",4
It was first described by William Walter Smith in 1889 using specimens obtained from George Hudson .,"It was first described by William Walter Smith in 1889 , using samples from George Hudson .",specimens obtained,", | samples","[(11, 13)]","[(10, 11), (12, 13)]",2
"Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw one touchdown for each .","Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw for one touchdown each .",for,for,"[(16, 17)]","[(14, 15)]",1
Jenkins married Ivy Vujic on 2 April 2011 .,Ivy Vujic married Jenkins on 2 April 2011 .,Jenkins married,married Jenkins,"[(0, 2)]","[(2, 4)]",1
"They trained in Dnipropetrovsk under very poor conditions until they were able to move to Kiev in 2003 , and Volosozhar was accompanied by her mother .",They trained in Dnipropetrovsk in very poor conditions until they were able to move to Kiev in 2003 ; Volosozhar was accompanied by her mother .,"under | , and",in | ;,"[(4, 5), (18, 20)]","[(4, 5), (18, 19)]",2
"Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner of Mirpur Road , Dhanmondi , Dhaka No .","The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .",of,The,"[(14, 15)]","[(0, 1)]",1
"There are seven picnic areas and several have reserved pavilions , the largest of which can be covered for up to 100 people and can be covered .","There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .",be covered for,accommodate,"[(16, 19)]","[(16, 17)]",1
"The Salt Lake City , Utah to Los Angeles trail was usually restricted by lack of water to winter .","The trail of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .",trail,trail of | a | the,"[(9, 10)]","[(1, 3), (15, 16), (20, 21)]",3
"Old Polish language is the period in the history of the Polish language between the 16th and the 9th centuries , followed by the Middle Polish language .","Old Polish language is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .",16th and the | Middle,and 16th | middle,"[(15, 18), (24, 25)]","[(16, 18), (23, 24)]",2
"Johnson has worked in molecular genetic animal experiments in laboratories in Melbourne , Townsville Queensland , Sydney , and Boston USA .","Johnson has worked in animal molecular genetics in laboratories in Sydney , Townsville Queensland , Melbourne and Boston USA .","molecular genetic | experiments | Melbourne | Sydney ,",molecular genetics | Sydney | Melbourne,"[(4, 6), (7, 8), (11, 12), (16, 18)]","[(5, 7), (10, 11), (15, 16)]",3
Several animatronic characters were also created ... a puppeteered goose ( Galaga ) and an animatronic head for the giant Cernos .,There were also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .,Several animatronic characters | puppeteered,There | several animatronic characters | doll playing,"[(0, 3), (8, 9)]","[(0, 1), (3, 6), (9, 11)]",3
The original edition of the disc was released on 11 January 2006 in Singapore and 26 January 2006 in Malaysia .,The original edition of the disc was published on 11 January 2006 in Singapore and on 26 January 2006 in Malaysia .,released,published | on,"[(7, 8)]","[(7, 8), (15, 16)]",2
"codice 3 is a type qualifier with the unqualified type of codice 27 codice 28 , which is the qualified type codice 29 .","Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .","with | codice 28 , which","Where | _ | , which | _ | codice _ 28 and | is | _","[(6, 7), (13, 17)]","[(0, 1), (2, 3), (8, 10), (15, 16), (18, 22), (25, 26), (27, 28)]",7
"Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computers and security systems .","Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computer and security systems .",computers,computer,"[(11, 12)]","[(11, 12)]",1
"In October 2017 , the Outwood Grange Academies school entered trust and became Outwood Academy Redcar .","In October 2017 , the school joined Outwood Grange Academies Trust , and became Outwood Academy Redcar .",school entered trust,"school joined | Trust ,","[(8, 11)]","[(5, 7), (10, 12)]",2
"The hall was left Charles Loraine Smith , who took the name Charles Loraine .",The hall was left to Charles Loraine Smith who took the name Charles Loraine .,",",to,"[(7, 8)]","[(4, 5)]",1
There were 12 female and 31 male athletes representing the country at the 2000 Summer Paralympics .,There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .,2000 Summer,summer - | 2000,"[(13, 15)]","[(13, 15), (16, 17)]",2
"During the early 21st century , certain real island was occasionally listed as '' Lot 1 Norfolk Bay , Dunalley TAS 7177 `` on Smooth -estate classifieds .","During the early 21st century , certain real Island was occasionally listed as `` Lot 1 Norfolk Bay , Dunalley TAS 7177 '' on Smooth-estate classifieds .",island | '' | `` | Smooth -estate,Island | `` | '' | Smooth-estate,"[(8, 9), (13, 14), (22, 23), (24, 26)]","[(8, 9), (13, 14), (22, 23), (24, 25)]",4
`` U. malabarica '' grows over lateritic rocks or wet soils in the presence of `` Eriocaulon '' species and grasses .,`` U. malabarica '' grows through lateritic rocks or wet soils in the presence of `` Eriocaulon '' species and grasses .,over,through,"[(5, 6)]","[(5, 6)]",1
"The house was bought in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst of Lymm , Cheshire in 1864 .","The house was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .",bought in 1858,"purchased | in 1858 | on | ,","[(3, 6)]","[(3, 4), (10, 12), (16, 17), (24, 25)]",4
"David Spurlock was born on 18 November 1959 in Dallas , Texas , and moved to Memphis , Tennessee in 1973 .","J. David Spurlock was born on November 18 , 1959 in Dallas , Texas . He moved to Memphis , Tennessee in 1973 .","18 | , and","J. | 18 , | . He","[(5, 6), (12, 14)]","[(0, 1), (7, 9), (14, 16)]",3
"Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations .","Some Hebrew and Aramaic abbreviations may not be included here , and others may be found in the list of Aramaic abbreviations or the list of Hebrew abbreviations .",more can | Hebrew | in | Aramaic,others may | Aramaic | Hebrew,"[(12, 14), (20, 21), (23, 24), (27, 28)]","[(12, 14), (20, 21), (26, 27)]",3
"In addition to English , Bernicat speaks French , Hindi and Russian .","In addition to English , Bernicat also speaks Russian , Hindi and French .",French | Russian,also | Russian | French,"[(7, 8), (11, 12)]","[(6, 7), (8, 9), (12, 13)]",3
"In 2006 , Romania produced a total of 62 TWh of electricity with an installed capacity of 17,360 MW in thermal , hydroelectric and nuclear power plants .","In 2006 Romania produced a total of 62 TWh of electricity having an installed capacity of 17,360 MW in thermal , hydro and nuclear power plants .",", | with | hydroelectric",having | hydro,"[(2, 3), (12, 13), (22, 23)]","[(11, 12), (21, 22)]",2
"For season 2011 -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .","For the 2011 season -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .",season,the | season,"[(1, 2)]","[(1, 2), (3, 4)]",2
"The 2014 -- 15 season was Maribor 's 24th consecutive season of football and the club 's 55th season in the Slovenian PrvaLiga , since the league establishment in 1991 .","The season 2014 -- 15 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .",season | club 's | league establishment,season | of the club | League foundation,"[(4, 5), (15, 17), (26, 28)]","[(1, 2), (17, 20), (27, 29)]",3
Family life was long in the early days . Both water and firewood had to be brought from hard .,"In the early days , family life was long : water and firewood had to be brought by hard .",Family life was long in | . Both | from,"In | , family life was long : | by","[(0, 5), (8, 10), (17, 18)]","[(0, 1), (4, 10), (17, 18)]",3
Paul Paul Cavanagh doubled also for Nelson .,Paul Cavanagh also doubled for Nelson .,Paul | doubled,doubled,"[(0, 1), (3, 4)]","[(3, 4)]",1
"22.0 % were German according to the 2000 census , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % of English descent .","22.0 % were of German , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % English ancestry according to Census 2000 .",according to the 2000 census | of | descent,of | ancestry according to Census 2000,"[(4, 9), (24, 25), (26, 27)]","[(3, 4), (21, 26)]",2
"Hugh Lawson Cansler was born in 1871 in Maryville , Tennessee , as son of Laura Scott ( originally `` Cansler '' ) and Gentzler .","Hugh Lawson Cansler was born in Maryville , Tennessee , in 1871 , a son of Laura Scott ( originally spelled `` Cansler '' ) and Gentzler .",1871 in | as,"in 1871 , a | spelled","[(6, 8), (12, 13)]","[(10, 14), (20, 21)]",2
"He died in Clarkstown ( now New City ) , New York , August 16 , 1850 .","He died on 16 August 1850 in Clarkstown ( now New City ) , New York City .",", August 16 , 1850",on 16 August 1850 | City,"[(12, 17)]","[(2, 6), (16, 17)]",2
"Fiat money , if physically represented in the form of currency ( paper or coins ) can be accidentally damaged or destroyed .",Fiat - Money can be accidentally damaged or destroyed if it is physically represented in the form of money ( paper or coins ) .,"money , if physically represented in the form of currency ( paper or coins )",- Money | if it is physically represented in the form of money ( paper or coins ),"[(1, 16)]","[(1, 3), (9, 24)]",2
He won the second Prix de Rome for painting in 1813 and the first Prix de Rome in 1814 for his painting of the `` Death of Diagoras '' .,He won the second Prix de Rome for painting in 1813 and in 1814 the first Prix de Rome for his painting of the `` death of the Diagora '' .,in 1814 | Death | Diagoras,in 1814 | death | the Diagora,"[(17, 19), (25, 26), (27, 28)]","[(12, 14), (25, 26), (27, 29)]",3
The album was produced by Colin Richardson and merged by Jason Suecof .,The album was produced by Colin Richardson and mixed by Jason Suecof .,merged,mixed,"[(8, 9)]","[(8, 9)]",1
Mohsin Zaidi lived in Delhi for nearly four decades before settling down in Lucknow after retirement .,Mohsin Zaidi lived in Delhi for nearly four decades before settling after his retirement in Lucknow .,down | after retirement,after his retirement,"[(11, 12), (14, 16)]","[(11, 14)]",1
Airports near Seymour : Austin Straubel International Airport ( public ) in Ashwaubenon and International Airport Appleton ( public ) in Greenville .,"Major airports near Seymour include : Austin Straubel International Airport ( public ) , in Ashwaubenon ; Appleton International Airport ( public ) , in Greenville .",Airports | and | Appleton,"Major airports | include | , | ; Appleton | ,","[(0, 1), (13, 14), (16, 17)]","[(0, 2), (4, 5), (13, 14), (16, 18), (23, 24)]",5
