term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
beasters,"""known as the ""lows of the highs"" this type of marijuana is the brick weed of canada",Don't talk to me when I'm beasters.,"Don't talk to me when I'm known as the ""lows of the highs"" this type of marijuana is the brick weed of canada.",beasters,"known as the ""lows of the highs"" this type of marijuana is the brick weed of canada.",6,"[(6, 7)]","[(6, 23)]"
kthxbi,"""literally means, ""okay, thanks, bye"" usually said to be a bit more sarcastic and rude when trying to make a point",I can't handle this kthxbi anymore.,"I can't handle this situation of literally means, ""okay, thanks, bye"" usually said to be a bit more sarcastic and rude when trying to make a point anymore.",kthxbi,"situation of literally means, ""okay, thanks, bye"" usually said to be a bit more sarcastic and rude when trying to make a point",4,"[(4, 5)]","[(4, 27)]"
cunninglingus,"""the word actually has a latin deriviative",Have you dealt with cunninglingus before?,Have you dealt with the word actually has a latin deriviative before?,cunninglingus,the word actually has a latin deriviative,4,"[(4, 5)]","[(4, 11)]"
dillhole,"originally used on the tv series beavis and butthead, presumably because you can't say [dickhole] on tv",Don't be such a dillhole.,Don't be such an idiot.,dillhole,an idiot.,4,"[(3, 5)]","[(3, 5)]"
imgurian,a community of people that live on imgur,We've reached peak imgurian.,We've reached peak a community of people that live on imgur.,imgurian,a community of people that live on imgur.,3,"[(3, 4)]","[(3, 11)]"
honkie,word honkie or honkey originated in chicago in the 1940s when repeatedly white men would drive to predominately black areas honking their vehicle horns looking for prostitutes,The honkie was unbearable.,The word honkie or honkey originated in chicago in the 1940s when repeatedly white men would drive to predominately black areas honking their vehicle horns looking for prostitutes was unbearable.,honkie,word | or honkey originated in chicago in the 1940s when repeatedly white men would drive to predominately black areas honking their vehicle horns looking for prostitutes,1,"[(1, 1), (2, 2)]","[(1, 2), (3, 28)]"
cardiothartic,the purging of ones heartaches / a catharsis of the heart,Nobody warned me about cardiothartic.,Nobody warned me about the purging of ones heartaches / a catharsis of the heart.,cardiothartic,the purging of ones heartaches / a catharsis of the heart.,4,"[(4, 5)]","[(4, 15)]"
bonse,british slang for cannabis,I can't handle this bonse anymore.,I can't handle this situation of british slang for cannabis anymore.,bonse,situation of british slang for cannabis,4,"[(4, 5)]","[(4, 10)]"
bustedposters,"so shit, bustedposters are as lame as bustedtees",Have you dealt with bustedposters before?,"Have you dealt with so shit, bustedposters are as lame as bustedtees before?",bustedposters,"so shit, | are as lame as bustedtees",4,"[(4, 4), (5, 5)]","[(4, 6), (7, 12)]"
fraydon,ancient king (shah) of iran (persia),This is textbook fraydon.,This is a textbook case of ancient king (shah) of iran (persia).,fraydon,a | case of ancient king (shah) of iran (persia).,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
clinomania,a lazy ass person that stays in bed all the time and has an obsession with their bed,We've reached peak clinomania.,We've reached peak a lazy ass person that stays in bed all the time and has an obsession with their bed.,clinomania,a lazy ass person that stays in bed all the time and has an obsession with their bed.,3,"[(3, 4)]","[(3, 21)]"
blogorrhea,"to write a [blog] entry just for the sake of posting an entry, not because you have done anything interesting today",The blogorrhea was unbearable.,"The to write a [blog] entry just for the sake of posting an entry, not because you have done anything interesting today was unbearable.",blogorrhea,"to write a [blog] entry just for the sake of posting an entry, not because you have done anything interesting today",1,"[(1, 2)]","[(1, 22)]"
blumpy,the act of giving head while the receiver is taking a shit,The art of blumpy takes practice.,The art of giving head while the receiver is taking a shit takes practice.,blumpy,giving head while the receiver is taking a shit,3,"[(3, 4)]","[(3, 12)]"
shexting,"texting your friends, loved ones or even your annoying co-workers whilst taking a dump on the porcelain throne",I spent all day shexting.,"I spent all day texting your friends, loved ones or even your annoying co-workers whilst taking a dump on the porcelain throne.",shexting,"texting your friends, loved ones or even your annoying co-workers whilst taking a dump on the porcelain throne.",4,"[(4, 5)]","[(4, 22)]"
Clapped,to be completely and utterly destroyed.,Have you dealt with clapped before?,Have you dealt with to be completely and utterly destroyed. before?,Clapped,to be completely and utterly destroyed.,4,"[(4, 5)]","[(4, 10)]"
bumder,"""a cross between bender and bummer",This is textbook bumder.,This is a textbook case of a cross between bender and bummer.,bumder,a | case of a cross between bender and bummer.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
swaffelen,"swaffeling is the way to drive the woman (or if you prefer man, such as some dubious characters) of your dreams to new unprecedented heights and fabulous moments of pleasure",We've reached peak swaffelen.,"We've reached peak swaffeling is the way to drive the woman (or if you prefer man, such as some dubious characters) of your dreams to new unprecedented heights and fabulous moments of pleasure.",swaffelen,"swaffeling is the way to drive the woman (or if you prefer man, such as some dubious characters) of your dreams to new unprecedented heights and fabulous moments of pleasure.",3,"[(3, 4)]","[(3, 33)]"
broodwich,it is the broodwich,The broodwich was unbearable.,The it is the broodwich was unbearable.,broodwich,it is the,1,"[(1, 1)]","[(1, 4)]"
phallophilia,phallophilia is the preference of some women for men with big penises,Nobody warned me about phallophilia.,Nobody warned me about phallophilia is the preference of some women for men with big penises.,phallophilia,phallophilia is the preference of some women for men with big penises.,4,"[(4, 5)]","[(4, 16)]"
pebkac,problem exists between keyboard and chair,I can't handle this pebkac anymore.,I can't handle this situation of problem exists between keyboard and chair anymore.,pebkac,situation of problem exists between keyboard and chair,4,"[(4, 5)]","[(4, 12)]"
bubblytude,"noun: a state of being lively, animated, excited or full of high spirits",She's completely bubblytude after that.,"She's completely noun: a state of being lively, animated, excited or full of high spirits after that.",bubblytude,"noun: a state of being lively, animated, excited or full of high spirits",2,"[(2, 3)]","[(2, 15)]"
blobjob,to receive a [blowjob] from a woman whom you would not normally think to be attractive,He always dresses blobjob.,He always dresses to receive a [blowjob] from a woman whom you would not normally think to be attractive.,blobjob,to receive a [blowjob] from a woman whom you would not normally think to be attractive.,3,"[(3, 4)]","[(3, 19)]"
eurofag,person that lives in europe and thinks that they are better than americans because of [insert whatever they think they are better at],We've reached peak eurofag.,We've reached peak person that lives in europe and thinks that they are better than americans because of [insert whatever they think they are better at].,eurofag,person that lives in europe and thinks that they are better than americans because of [insert whatever they think they are better at].,3,"[(3, 4)]","[(3, 26)]"
consumerican,an individual suffering from the particularly american brand of [consumerism],The consumerican was unbearable.,The an individual suffering from the particularly american brand of [consumerism] was unbearable.,consumerican,an individual suffering from the particularly american brand of [consumerism],1,"[(1, 2)]","[(1, 11)]"
skunt,a guyanese version of the british term (cunt) passed on from the colonial period,Nobody warned me about skunt.,Nobody warned me about a guyanese version of the british term (cunt) passed on from the colonial period.,skunt,a guyanese version of the british term (cunt) passed on from the colonial period.,4,"[(4, 5)]","[(4, 18)]"
bocat,someone who licks pu*sy,My coworker is such a bocat.,My coworker is someone who licks pu*sy.,bocat,someone who licks pu*sy.,5,"[(3, 6)]","[(3, 7)]"
ballum,a completely stark naked wank,Have you dealt with ballum before?,Have you dealt with a completely stark naked wank before?,ballum,a completely stark naked wank,4,"[(4, 5)]","[(4, 9)]"
benkinersophobia,fear of not receiving a letter from hogwarts school of witchcraft and wizardry on one's eleventh birthday,I'm dealing with serious benkinersophobia.,I'm dealing with a serious fear of not receiving a letter from hogwarts school of witchcraft and wizardry on one's eleventh birthday.,benkinersophobia,a | fear of not receiving a letter from hogwarts school of witchcraft and wizardry on one's eleventh birthday.,4,"[(3, 3), (4, 5)]","[(3, 4), (5, 22)]"
greezy,"wicked,something that is good",We've reached peak greezy.,"We've reached peak wicked,something that is good.",greezy,"wicked,something that is good.",3,"[(3, 4)]","[(3, 7)]"
gweedo,"typically from new jersey, an italian who commonly uses way too much hair gel and has many homosexual tendancies, even though they pronounce themselves straight",The gweedo was unbearable.,"The typically from new jersey, an italian who commonly uses way too much hair gel and has many homosexual tendancies, even though they pronounce themselves straight was unbearable.",gweedo,"typically from new jersey, an italian who commonly uses way too much hair gel and has many homosexual tendancies, even though they pronounce themselves straight",1,"[(1, 2)]","[(1, 26)]"
hineylicious,a tasty hiney,Nobody warned me about hineylicious.,Nobody warned me about a tasty hiney.,hineylicious,a tasty hiney.,4,"[(4, 5)]","[(4, 7)]"
mishapocalypse,the day when the supernatural fandom took over the internet,I can't handle this mishapocalypse anymore.,I can't handle this situation of the day when the supernatural fandom took over the internet anymore.,mishapocalypse,situation of the day when the supernatural fandom took over the internet,4,"[(4, 5)]","[(4, 16)]"
schmillion,"an awesome all girl punk rock band from austin, texas",That outfit is so schmillion.,"That outfit is so an awesome all girl punk rock band from austin, texas.",schmillion,"an awesome all girl punk rock band from austin, texas.",4,"[(4, 5)]","[(4, 14)]"
backshot,to get her from the back or in her ass,This is textbook backshot.,This is a textbook case of to get her from the back or in her ass.,backshot,a | case of to get her from the back or in her ass.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 16)]"
alphafrog,a social outcast due to extreme obesity who stalks people on the internet,We've reached peak alphafrog.,We've reached peak a social outcast due to extreme obesity who stalks people on the internet.,alphafrog,a social outcast due to extreme obesity who stalks people on the internet.,3,"[(3, 4)]","[(3, 16)]"
breah,"selfless, underestimated, beautiful person that wants to continually improve",The breah was unbearable.,"The selfless, underestimated, beautiful person that wants to continually improve was unbearable.",breah,"selfless, underestimated, beautiful person that wants to continually improve",1,"[(1, 2)]","[(1, 10)]"
crunked,somebody who is drunk and high at the same time,Don't talk to me when I'm crunked.,Don't talk to me when I'm somebody who is drunk and high at the same time.,crunked,somebody who is drunk and high at the same time.,6,"[(6, 7)]","[(6, 16)]"
chebs,"big breasts! the word originated in scotland many many years ago, to which i have been doing my part ever since to spread the word and religion of chebs",I can't handle this chebs anymore.,"I can't handle this situation of big breasts! the word originated in scotland many many years ago, to which i have been doing my part ever since to spread the word and religion of chebs anymore.",chebs,"situation of big breasts! the word originated in scotland many many years ago, to which i have been doing my part ever since to spread the word and religion of",4,"[(4, 4)]","[(4, 34)]"
niggerish,of or being like a nigger,Have you dealt with niggerish before?,Have you dealt with of or being like a nigger before?,niggerish,of or being like a nigger,4,"[(4, 5)]","[(4, 10)]"
mastribate,when someone doesn't know how to spell masturbate,We experienced major mastribate today.,We experienced doesn't know how to spell masturbate today.,mastribate,doesn't know how to spell masturbate,3,"[(2, 4)]","[(2, 8)]"
dreamathon,the act of hitting the snooze button over and over again and having a different dream every time you fall asleep,I spent all day dreamathon.,I spent all day hitting the snooze button over and over again and having a different dream every time you fall asleep.,dreamathon,hitting the snooze button over and over again and having a different dream every time you fall asleep.,4,"[(4, 5)]","[(4, 22)]"
bleezy,a great blunt,The bleezy was unbearable.,The a great blunt was unbearable.,bleezy,a great blunt,1,"[(1, 2)]","[(1, 4)]"
barrycade,1) yet another in a long line of weak attempts by right-wing hacks to blame president obama for something he had nothing to do with,Nobody warned me about barrycade.,Nobody warned me about 1) yet another in a long line of weak attempts by right-wing hacks to blame president obama for something he had nothing to do with.,barrycade,1) yet another in a long line of weak attempts by right-wing hacks to blame president obama for something he had nothing to do with.,4,"[(4, 5)]","[(4, 29)]"
poonanny,a great way to refer to a female human vagina,I can't handle this poonanny anymore.,I can't handle this situation of a great way to refer to a female human vagina anymore.,poonanny,situation of a great way to refer to a female human vagina,4,"[(4, 5)]","[(4, 16)]"
breasticles,the rounded organs situated on a female chest,Have you dealt with breasticles before?,Have you dealt with the rounded organs situated on a female chest before?,breasticles,the rounded organs situated on a female chest,4,"[(4, 5)]","[(4, 12)]"
compersion,"""a feeling of joy when a loved one invests in and takes pleasure from another romantic or sexual relationship",This is textbook compersion.,This is a textbook case of a feeling of joy when a loved one invests in and takes pleasure from another romantic or sexual relationship.,compersion,a | case of a feeling of joy when a loved one invests in and takes pleasure from another romantic or sexual relationship.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 25)]"
catroaches,felines that breed rapidly and over populate an area,We've reached peak catroaches.,We've reached peak felines that breed rapidly and over populate an area.,catroaches,felines that breed rapidly and over populate an area.,3,"[(3, 4)]","[(3, 12)]"
booji,"from the french term bourgeois, which means middle class, assuming everyone else is from the lower class",The booji was unbearable.,"The from the french term bourgeois, which means middle class, assuming everyone else is from the lower class was unbearable.",booji,"from the french term bourgeois, which means middle class, assuming everyone else is from the lower class",1,"[(1, 2)]","[(1, 18)]"
coliary,a placeholder used where the speaker or author cannot remember the correct word in context,Nobody warned me about coliary.,Nobody warned me about a placeholder used where the speaker or author cannot remember the correct word in context.,coliary,a placeholder used where the speaker or author cannot remember the correct word in context.,4,"[(4, 5)]","[(4, 19)]"
esquilax,"a legendary horse, with the head of a rabbit, and the body of a rabbit",I can't handle this esquilax anymore.,"I can't handle this situation of a legendary horse, with the head of a rabbit, and the body of a rabbit anymore.",esquilax,"situation of a legendary horse, with the head of a rabbit, and the body of a rabbit",4,"[(4, 5)]","[(4, 21)]"
penor,"penor (penor, p3n0r, penoah): elite word for penis",Have you dealt with penor before?,"Have you dealt with penor (penor, p3n0r, penoah): elite word for penis before?",penor,"(penor, p3n0r, penoah): elite word for penis",4,"[(5, 5)]","[(5, 12)]"
arfcom,an internet slang term for the website ar15,This is textbook arfcom.,This is a textbook case of an internet slang term for the website ar15.,arfcom,a | case of an internet slang term for the website ar15.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 14)]"
bevets,"""bevets (backward form of steve b",We've reached peak bevets.,We've reached peak bevets (backward form of steve b.,bevets,bevets (backward form of steve b.,3,"[(3, 4)]","[(3, 9)]"
bakluvit,"luscious, sexy, sweet, voluptuous, full-flavored, original, authentic, charming, playful, fun, kind-hearted, well-gifted, and tastefully arousing",The bakluvit was unbearable.,"The luscious, sexy, sweet, voluptuous, full-flavored, original, authentic, charming, playful, fun, kind-hearted, well-gifted, and tastefully arousing was unbearable.",bakluvit,"luscious, sexy, sweet, voluptuous, full-flavored, original, authentic, charming, playful, fun, kind-hearted, well-gifted, and tastefully arousing",1,"[(1, 2)]","[(1, 16)]"
ninfo,someone who addicted to sex,Don't be a ninfo.,Don't be someone who addicted to sex.,ninfo,someone who addicted to sex.,3,"[(2, 4)]","[(2, 7)]"
stoge,cigerette,I can't handle this stoge anymore.,I can't handle this situation of cigerette anymore.,stoge,situation of cigerette,4,"[(4, 5)]","[(4, 7)]"
buttcracker,"fucking good sex, that cracks your butt, but not psychically",Have you dealt with buttcracker before?,"Have you dealt with fucking good sex, that cracks your butt, but not psychically before?",buttcracker,"fucking good sex, that cracks your butt, but not psychically",4,"[(4, 5)]","[(4, 14)]"
candwich,a sandwich in a can,This is textbook candwich.,This is a textbook case of a sandwich in a can.,candwich,a | case of a sandwich in a can.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
draking,a word originated from the rapper/singer drake to describe when someone is behaving very emotional,I spent all day draking.,I spent all day a word originated from the rapper/singer drake to describe when someone is behaving very emotional.,draking,a word originated from the rapper/singer drake to describe when someone is behaving very emotional.,4,"[(4, 5)]","[(4, 19)]"
haylor,enormous pimples on the inside of an anus or a penis disease resembling a female blue waffle,The haylor was unbearable.,The enormous pimples on the inside of an anus or a penis disease resembling a female blue waffle was unbearable.,haylor,enormous pimples on the inside of an anus or a penis disease resembling a female blue waffle,1,"[(1, 2)]","[(1, 18)]"
shwing,"a noise that a man makes when a fine woman walks by, usually meaning a sort of erection",The art of shwing takes practice.,"The art of a noise that a man makes when a fine woman walks by, usually meaning a sort of erection takes practice.",shwing,"a noise that a man makes when a fine woman walks by, usually meaning a sort of erection",3,"[(3, 4)]","[(3, 21)]"
bungaholic,"like assoholic, someone who is obsessed with ass",My coworker is such a bungaholic.,"My coworker is someone who like assoholic, someone who is obsessed with ass.",bungaholic,"someone who like assoholic, someone who is obsessed with ass.",5,"[(3, 6)]","[(3, 13)]"
gayface,"""gayface is the look that gay men have that enables other gay men to quickly identify them as ""family"" no matter what they're doing, wearing or saying",Have you dealt with gayface before?,"Have you dealt with gayface is the look that gay men have that enables other gay men to quickly identify them as ""family"" no matter what they're doing, wearing or saying before?",gayface,"is the look that gay men have that enables other gay men to quickly identify them as ""family"" no matter what they're doing, wearing or saying",4,"[(5, 5)]","[(5, 31)]"
fhqwhgads,"""/fuh-hoo-gwah-gahds/ remitent of a strong bad mail and abreviation of ""fhqwhgadshgnsdhjsdbkhsdabkfabkveybvf""",This is textbook fhqwhgads.,"This is a textbook case of /fuh-hoo-gwah-gahds/ remitent of a strong bad mail and abreviation of ""fhqwhgadshgnsdhjsdbkhsdabkfabkveybvf.",fhqwhgads,"a | case of /fuh-hoo-gwah-gahds/ remitent of a strong bad mail and abreviation of ""fhqwhgadshgnsdhjsdbkhsdabkfabkveybvf.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 17)]"
froob,"""a froob is a [noob] who isn't paying for an [mmorpg]",We've reached peak froob.,We've reached peak a froob is a [noob] who isn't paying for an [mmorpg].,froob,a froob is a [noob] who isn't paying for an [mmorpg].,3,"[(3, 4)]","[(3, 14)]"
bbz,it's more of a short form of babe of baby,The bbz was unbearable.,The it's more of a short form of babe of baby was unbearable.,bbz,it's more of a short form of babe of baby,1,"[(1, 2)]","[(1, 11)]"
akuroku,"a term for the romantic pairing of axelxroxas, two male characters from the hit video game series, kingdom hearts",Nobody warned me about akuroku.,"Nobody warned me about a term for the romantic pairing of axelxroxas, two male characters from the hit video game series, kingdom hearts.",akuroku,"a term for the romantic pairing of axelxroxas, two male characters from the hit video game series, kingdom hearts.",4,"[(4, 5)]","[(4, 23)]"
derka,"""stereotypical arabic word used in lieu of actual arabic dialogue in ""team america: world police",I can't handle this derka anymore.,"I can't handle this situation of stereotypical arabic word used in lieu of actual arabic dialogue in ""team america: world police anymore.",derka,"situation of stereotypical arabic word used in lieu of actual arabic dialogue in ""team america: world police",4,"[(4, 5)]","[(4, 21)]"
mynx,a girl like animal that is absolutly crazy in bed,Have you dealt with mynx before?,Have you dealt with a girl like animal that is absolutly crazy in bed before?,mynx,a girl like animal that is absolutly crazy in bed,4,"[(4, 5)]","[(4, 14)]"
foig,"began when a group of seniors from magee secondary in vancouver, bc would say in the hallways to confuse students and teachers",This is textbook foig.,"This is a textbook case of began when a group of seniors from magee secondary in vancouver, bc would say in the hallways to confuse students and teachers.",foig,"a | case of began when a group of seniors from magee secondary in vancouver, bc would say in the hallways to confuse students and teachers.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 28)]"
asstits,when a woman with a large ass wears lowrise jeans causing her large cheeks to resemble a pair of titties,I hate when asstits happens.,I hate when woman with a large ass wears lowrise jeans causing her large cheeks to resemble a pair of titties.,asstits,woman with a large ass wears lowrise jeans causing her large cheeks to resemble a pair of titties.,3,"[(3, 5)]","[(3, 21)]"
edumacation,"used to refer to an education that someone received at a crappy school, or a lack of education all together",The edumacation was unbearable.,"The used to refer to an education that someone received at a crappy school, or a lack of education all together was unbearable.",edumacation,"used to refer to an education that someone received at a crappy school, or a lack of education all together",1,"[(1, 2)]","[(1, 21)]"
goomah,a mafioso's mistress,Nobody warned me about goomah.,Nobody warned me about a mafioso's mistress.,goomah,a mafioso's mistress.,4,"[(4, 5)]","[(4, 7)]"
filf,father id like to fuck,I can't handle this filf anymore.,I can't handle this situation of father id like to fuck anymore.,filf,situation of father id like to fuck,4,"[(4, 5)]","[(4, 11)]"
feminem,eminem in drag,Have you dealt with feminem before?,Have you dealt with eminem in drag before?,feminem,eminem in drag,4,"[(4, 5)]","[(4, 7)]"
hitchslap,"the process of utterly obliterating an opponent's entire (usually religious or political) argument, usually in one or more succinct or terse statements, orally or in writing",This is textbook hitchslap.,"This is a textbook case of the process of utterly obliterating an opponent's entire (usually religious or political) argument, usually in one or more succinct or terse statements, orally or in writing.",hitchslap,"a | case of the process of utterly obliterating an opponent's entire (usually religious or political) argument, usually in one or more succinct or terse statements, orally or in writing.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 32)]"
marajuana,"""a misspelling of ""marijuana""",We've reached peak marajuana.,"We've reached peak a misspelling of ""marijuana.",marajuana,"a misspelling of ""marijuana.",3,"[(3, 4)]","[(3, 7)]"
cibai,malaysian hokkien word for vagina,The cibai was unbearable.,The malaysian hokkien word for vagina was unbearable.,cibai,malaysian hokkien word for vagina,1,"[(1, 2)]","[(1, 6)]"
badonk,"a rather large, round, nicely shaped buttocks that is enticing and enjoyable to the touch",Nobody warned me about badonk.,"Nobody warned me about a rather large, round, nicely shaped buttocks that is enticing and enjoyable to the touch.",badonk,"a rather large, round, nicely shaped buttocks that is enticing and enjoyable to the touch.",4,"[(4, 5)]","[(4, 19)]"
maylee,"amazing girl, gorgeous, stunning, highly intelligent and always there for her friends",I get maylee around 3 PM.,"I get amazing girl, gorgeous, stunning, highly intelligent and always there for her friends around 3 PM.",maylee,"amazing girl, gorgeous, stunning, highly intelligent and always there for her friends",2,"[(2, 3)]","[(2, 14)]"
btho,beat the hell outta - a term used by texas a&m aggies to descbribe what they're going to do to the opposing football team that week,Have you dealt with btho before?,Have you dealt with beat the hell outta - a term used by texas a&m aggies to descbribe what they're going to do to the opposing football team that week before?,btho,beat the hell outta - a term used by texas a&m aggies to descbribe what they're going to do to the opposing football team that week,4,"[(4, 5)]","[(4, 30)]"
angelene,"""a girl who is a keener!!! one who likes to read things about herself and be included",This is textbook angelene.,This is a textbook case of a girl who is a keener!!! one who likes to read things about herself and be included.,angelene,a | case of a girl who is a keener!!! one who likes to read things about herself and be included.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 23)]"
boococky,the act shooting your man goo on a woman's face followed by slapping her face with your empty gun,We've reached peak boococky.,We've reached peak the act shooting your man goo on a woman's face followed by slapping her face with your empty gun.,boococky,the act shooting your man goo on a woman's face followed by slapping her face with your empty gun.,3,"[(3, 4)]","[(3, 22)]"
flid,"an insult usually meaning [spacker], thick, incapable or physically challenged",The flid was unbearable.,"The an insult usually meaning [spacker], thick, incapable or physically challenged was unbearable.",flid,"an insult usually meaning [spacker], thick, incapable or physically challenged",1,"[(1, 2)]","[(1, 11)]"
ncmo,non committal make out,Nobody warned me about ncmo.,Nobody warned me about non committal make out.,ncmo,non committal make out.,4,"[(4, 5)]","[(4, 8)]"
shiznat,"from 2004 onwards, shiznat also refers to the lesbian couple in the anime mai hime",I can't handle this shiznat anymore.,"I can't handle this situation of from 2004 onwards, shiznat also refers to the lesbian couple in the anime mai hime anymore.",shiznat,"situation of from 2004 onwards, | also refers to the lesbian couple in the anime mai hime",4,"[(4, 4), (5, 5)]","[(4, 9), (10, 21)]"
coricidin,an over-the-counter drug containing 30 mg of dextromethorphan and 4 mg of chlorpheniramine maleate,Have you dealt with coricidin before?,Have you dealt with an over-the-counter drug containing 30 mg of dextromethorphan and 4 mg of chlorpheniramine maleate before?,coricidin,an over-the-counter drug containing 30 mg of dextromethorphan and 4 mg of chlorpheniramine maleate,4,"[(4, 5)]","[(4, 18)]"
boobshake,"a casual, modern way to introduce yourself to a female",This is textbook boobshake.,"This is a textbook case of a casual, modern way to introduce yourself to a female.",boobshake,"a | case of a casual, modern way to introduce yourself to a female.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 16)]"
jamjars,tumblr famouz~,We've reached peak jamjars.,We've reached peak tumblr famouz~.,jamjars,tumblr famouz~.,3,"[(3, 4)]","[(3, 5)]"
hmfic,head motha fucka in charge,The hmfic was unbearable.,The head motha fucka in charge was unbearable.,hmfic,head motha fucka in charge,1,"[(1, 2)]","[(1, 6)]"
flacid,"a polite term used to describe a dong that is long, floppy, and blood-filled, but dose not stand out and proud like a normal erection",Nobody warned me about flacid.,"Nobody warned me about a polite term used to describe a dong that is long, floppy, and blood-filled, but dose not stand out and proud like a normal erection.",flacid,"a polite term used to describe a dong that is long, floppy, and blood-filled, but dose not stand out and proud like a normal erection.",4,"[(4, 5)]","[(4, 29)]"
wangsta,"wannabe gangster, some people think the phrase is linked with wanksta which is not a word",I can't handle this wangsta anymore.,"I can't handle this situation of wannabe gangster, some people think the phrase is linked with wanksta which is not a word anymore.",wangsta,"situation of wannabe gangster, some people think the phrase is linked with wanksta which is not a word",4,"[(4, 5)]","[(4, 22)]"
ailf,aunt i'd like to fuck,Have you dealt with ailf before?,Have you dealt with aunt i'd like to fuck before?,ailf,aunt i'd like to fuck,4,"[(4, 5)]","[(4, 9)]"
bbbjtc,bare back blow job to completion,This is textbook bbbjtc.,This is a textbook case of bare back blow job to completion.,bbbjtc,a | case of bare back blow job to completion.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
kaeperpekpek,"what [filipinos] who hate the 49ers, call niners quarterback colin kaepernick",We've reached peak kaeperpekpek.,"We've reached peak what [filipinos] who hate the 49ers, call niners quarterback colin kaepernick.",kaeperpekpek,"what [filipinos] who hate the 49ers, call niners quarterback colin kaepernick.",3,"[(3, 4)]","[(3, 14)]"
btard,people who are found in the /b/ section of 4chan,The btard was unbearable.,The people who are found in the /b/ section of 4chan was unbearable.,btard,people who are found in the /b/ section of 4chan,1,"[(1, 2)]","[(1, 11)]"
festizio,"""someone who is degenerate or is as morally low or lower as a degenerate",Don't be a festizio.,Don't be someone who is degenerate or is as morally low or lower as a degenerate.,festizio,someone who is degenerate or is as morally low or lower as | degenerate.,3,"[(2, 2), (3, 4)]","[(2, 14), (15, 16)]"
fhritp,fuck her right in the pussy!!!!!!!,I can't handle this fhritp anymore.,I can't handle this situation of fuck her right in the pussy!!!!!!! anymore.,fhritp,situation of fuck her right in the pussy!!!!!!!,4,"[(4, 5)]","[(4, 12)]"
godbody,a slang term use to describe a male member of the nation of gods and earth aka the 5%'s even tho the members don't call themselves that,Have you dealt with godbody before?,Have you dealt with a slang term use to describe a male member of the nation of gods and earth aka the 5%'s even tho the members don't call themselves that before?,godbody,a slang term use to describe a male member of the nation of gods and earth aka the 5%'s even tho the members don't call themselves that,4,"[(4, 5)]","[(4, 31)]"
swelly,"(swell-e) root word, swell",This is textbook swelly.,"This is a textbook case of (swell-e) root word, swell.",swelly,"a | case of (swell-e) root word, swell.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 10)]"
coitis,the act of intercourse,I spent all day coitis.,I spent all day intercourse.,coitis,intercourse.,4,"[(4, 5)]","[(4, 5)]"
drawlin,acting up,The drawlin was unbearable.,The acting up was unbearable.,drawlin,acting up,1,"[(1, 2)]","[(1, 3)]"
meanderthal,"people who wander around aimlessly and always seem to get in your way in stores and supermarkets, chatting on their cell phones and paying no attention to their surroundings",Nobody warned me about meanderthal.,"Nobody warned me about people who wander around aimlessly and always seem to get in your way in stores and supermarkets, chatting on their cell phones and paying no attention to their surroundings.",meanderthal,"people who wander around aimlessly and always seem to get in your way in stores and supermarkets, chatting on their cell phones and paying no attention to their surroundings.",4,"[(4, 5)]","[(4, 33)]"
natzi,"""fucking morons who cannot spell ""nazi"" correctly""",He can't even spell natzi correctly.,He can't even spell Nazi correctly.,natzi,Nazi,4,"[(4, 5)]","[(4, 5)]"
boddah,"the imaginary friend of kurt cobain, lead singer and guitarist for nirvana",Have you dealt with boddah before?,"Have you dealt with the imaginary friend of kurt cobain, lead singer and guitarist for nirvana before?",boddah,"the imaginary friend of kurt cobain, lead singer and guitarist for nirvana",4,"[(4, 5)]","[(4, 16)]"
brotigo,combination of bro and invertigo,This is textbook brotigo.,This is a textbook case of combination of bro and invertigo.,brotigo,a | case of combination of bro and invertigo.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
finchel,"the totally canon pairing of the hot male lead, finn hudson and the stunning young ingenue rachel berry in the hit tv show glee",We've reached peak finchel.,"We've reached peak the totally canon pairing of the hot male lead, finn hudson and the stunning young ingenue rachel berry in the hit tv show glee.",finchel,"the totally canon pairing of the hot male lead, finn hudson and the stunning young ingenue rachel berry in the hit tv show glee.",3,"[(3, 4)]","[(3, 27)]"
chobo,i am korean,The chobo was unbearable.,The i am korean was unbearable.,chobo,i am korean,1,"[(1, 2)]","[(1, 4)]"
