normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
It has a high school ( `` Cornway Junior College '' ) and a nursery school ( `` Cornway Senior College '' ) .,It has a high school ( `` Cornway Junior College '' ) and a nursery school ( `` Cornway Senior College '' ) .,and,and,"[(12, 13)]","[(12, 13)]",0
Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .,Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .,as,as,"[(6, 7)]","[(6, 7)]",0
"This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .","This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .",including,including,"[(11, 12)]","[(11, 12)]",0
"In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .","In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .",Blank,Blank,"[(14, 15)]","[(14, 15)]",0
"On April 21 , 2018 , Edson Barboza is expected to meet at UFC Fight Night 128 .","On April 21 , 2018 , Edson Barboza is expected to meet at UFC Fight Night 128 .",expected,expected,"[(9, 10)]","[(9, 10)]",0
"Mitch Clarke faced Iaquinta at UFC 173 on May 24 , 2014 .","Mitch Clarke faced Iaquinta at UFC 173 on May 24 , 2014 .",173,173,"[(6, 7)]","[(6, 7)]",0
Abdul Rahman said Raouf will only survive if he goes into exile .,Abdul Rahman said Raouf will only survive if he goes into exile .,survive,survive,"[(6, 7)]","[(6, 7)]",0
The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .,The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .,illustrated,illustrated,"[(9, 10)]","[(9, 10)]",0
In December 1883 he moved for two years to Fresno and Los Angeles .,In December 1883 he moved for two years to Fresno and Los Angeles .,years,years,"[(7, 8)]","[(7, 8)]",0
The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .,The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .,tributary,tributary,"[(7, 8)]","[(7, 8)]",0
"Of the twelve stories that are included , six were previously published in the author 's first collection , `` evening news '' .","Of the twelve stories that are included , six were previously published in the author 's first collection , `` evening news '' .",in,in,"[(12, 13)]","[(12, 13)]",0
"The work is dedicated to Sikorski and is published by Gidon Kremer , Tatiana Grindenko and Saulius Sondeckis .","The work is dedicated to Sikorski and is published by Gidon Kremer , Tatiana Grindenko and Saulius Sondeckis .",by,by,"[(9, 10)]","[(9, 10)]",0
He moved to Quebec in 1685 and lived for some time in New - France .,He moved to Quebec in 1685 and lived for some time in New - France .,for,for,"[(8, 9)]","[(8, 9)]",0
Grégoire was born in Lunéville near Vého as the son of a tailor .,Grégoire was born in Lunéville near Vého as the son of a tailor .,as,as,"[(7, 8)]","[(7, 8)]",0
The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .,The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .,was,was,"[(8, 9)]","[(8, 9)]",0
It is developed by Beautiful Glitch and is published by those Awesome Guys .,It is developed by Beautiful Glitch and is published by those Awesome Guys .,is,is,"[(7, 8)]","[(7, 8)]",0
"Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .","Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .",in,in,"[(12, 13)]","[(12, 13)]",0
`` Bonne Citoyenne '' had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .,`` Bonne Citoyenne '' had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .,storm,storm,"[(12, 13)]","[(12, 13)]",0
"He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .","He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .",consultant,consultant,"[(12, 13)]","[(12, 13)]",0
"For many years , Ian Weatherhead lived in Somerset , before moving to Cheltenham .","For many years , Ian Weatherhead lived in Somerset , before moving to Cheltenham .",in,in,"[(7, 8)]","[(7, 8)]",0
"Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .","Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .",fourth,fourth,"[(8, 9)]","[(8, 9)]",0
"In December 2006 , Muspratt was named `` Chicagoan of the Year by John von Rhein and the staff of the '' Chicago Tribune `` in the Classic .","In December 2006 , Muspratt was named `` Chicagoan of the Year by John von Rhein and the staff of the '' Chicago Tribune `` in the Classic .",von,von,"[(14, 15)]","[(14, 15)]",0
French players playing for either the Spanish or the Basque team dominate international competitions .,French players playing for either the Spanish or the Basque team dominate international competitions .,or,or,"[(7, 8)]","[(7, 8)]",0
He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras '' .,He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras '' .,de,de,"[(15, 16)]","[(15, 16)]",0
"Leyendecker is buried beside parents and brother Frank at the Woodlawn cemetery in Bronx , New York City .","Leyendecker is buried beside parents and brother Frank at the Woodlawn cemetery in Bronx , New York City .",the,the,"[(9, 10)]","[(9, 10)]",0
"Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .","Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .",online,online,"[(8, 9)]","[(8, 9)]",0
"In Käru , the politician and entrepreneur Kuno Pajula ( 1885 - 1942 ) and former archbishop Juhan Kukk ( 1924 - 2012 ) were born .","In Käru , the politician and entrepreneur Kuno Pajula ( 1885 - 1942 ) and former archbishop Juhan Kukk ( 1924 - 2012 ) were born .",),),"[(13, 14)]","[(13, 14)]",0
The hurricane killed one person directly and two indirectly in the state .,The hurricane killed one person directly and two indirectly in the state .,and,and,"[(6, 7)]","[(6, 7)]",0
"Delaware County is a city in and the county town of Delaware , Ohio , United States .","Delaware County is a city in and the county town of Delaware , Ohio , United States .",town,town,"[(9, 10)]","[(9, 10)]",0
"Both Phasael and Herod , began their careers under her father , Antipater , who was appointed Judea Procurator of the Roman Republic by Julius Caesar .","Both Phasael and Herod , began their careers under her father , Antipater , who was appointed Judea Procurator of the Roman Republic by Julius Caesar .",",",",","[(13, 14)]","[(13, 14)]",0
The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .,The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .,are,are,"[(7, 8)]","[(7, 8)]",0
The original route started at US 410 in Touchet and went north to Eureka and east to SSH 3E west of Prescott .,The original route started at US 410 in Touchet and went north to Eureka and east to SSH 3E west of Prescott .,north,north,"[(11, 12)]","[(11, 12)]",0
"Nirimba is a rural locality in the Shire of Murray in the South Yunderup of the Peel Region , just south of the Austin Cove development in Western Australia .","Nirimba is a rural locality in the Shire of Murray in the South Yunderup of the Peel Region , just south of the Austin Cove development in Western Australia .",the,the,"[(15, 16)]","[(15, 16)]",0
"The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .","The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .",branch,branch,"[(9, 10)]","[(9, 10)]",0
The costal Tetra is found around south-eastern Brazil and Paraná river basin in yellow rivers .,The costal Tetra is found around south-eastern Brazil and Paraná river basin in yellow rivers .,and,and,"[(8, 9)]","[(8, 9)]",0
The Richford is located in Ellerslie Rugby Park .,The Richford is located in Ellerslie Rugby Park .,in,in,"[(4, 5)]","[(4, 5)]",0
The compact device used a simplified drive mechanism for tape transport .,The compact device used a simplified drive mechanism for tape transport .,drive,drive,"[(6, 7)]","[(6, 7)]",0
"The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .","The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .",who,who,"[(13, 14)]","[(13, 14)]",0
"Cobian Backup was a free , donation-written backup software for Microsoft Windows . It is supported in Delphi by Luis Cobian of Umeå University .","Cobian Backup was a free , donation-written backup software for Microsoft Windows . It is supported in Delphi by Luis Cobian of Umeå University .",.,.,"[(12, 13)]","[(12, 13)]",0
Jieţ is a tributary of the Slivei River in Romania .,Jieţ is a tributary of the Slivei River in Romania .,the,the,"[(5, 6)]","[(5, 6)]",0
Togdheer ( Somali `` Wabi Togdheer '' ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .,Togdheer ( Somali `` Wabi Togdheer '' ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .,in,in,"[(12, 13)]","[(12, 13)]",0
"On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .","On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .",manager,manager,"[(11, 12)]","[(11, 12)]",0
"This would last the element , but fade when the effect is 80 % complete ( with an opacity of 20 % ) .","This would last the element , but fade when the effect is 80 % complete ( with an opacity of 20 % ) .",80,80,"[(12, 13)]","[(12, 13)]",0
Fothergill also served as a member of the executive committee of the Scottish Liberal Party and chairman of the Scottish Liberal Agriculture Committee .,Fothergill also served as a member of the executive committee of the Scottish Liberal Party and chairman of the Scottish Liberal Agriculture Committee .,Scottish,Scottish,"[(12, 13)]","[(12, 13)]",0
"Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .","Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .",6,6,"[(7, 8)]","[(7, 8)]",0
"In the following year , Butcher returned and was eliminated in round by Ian Rotten .","In the following year , Butcher returned and was eliminated in round by Ian Rotten .",was,was,"[(8, 9)]","[(8, 9)]",0
He began playing the AA Frisco RoughRiders of the Texas League in 2014 and was appointed to the AAA Round Rock Express of the Pacific Coast League .,He began playing the AA Frisco RoughRiders of the Texas League in 2014 and was appointed to the AAA Round Rock Express of the Pacific Coast League .,was,was,"[(14, 15)]","[(14, 15)]",0
Mark Williams is played in the TV series by Olaf Petersen .,Mark Williams is played in the TV series by Olaf Petersen .,TV,TV,"[(6, 7)]","[(6, 7)]",0
"St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :","St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :",of,of,"[(11, 12)]","[(11, 12)]",0
"Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .","Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .",author,author,"[(8, 9)]","[(8, 9)]",0
"Tynion followed up the series with an additional horror comic for Thrillbent , The House In The Wall , drawn by Noah J. Yuenkel and co-written by Eryk Donovan .","Tynion followed up the series with an additional horror comic for Thrillbent , The House In The Wall , drawn by Noah J. Yuenkel and co-written by Eryk Donovan .",In,In,"[(15, 16)]","[(15, 16)]",0
"The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .","The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .",Park,Park,"[(9, 10)]","[(9, 10)]",0
"The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .","The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .",",",",","[(15, 16)]","[(15, 16)]",0
"Under Portuguese rule , this province was renamed Moçambique , but with independence the name Mozambique was named for its capital throughout the country and province .","Under Portuguese rule , this province was renamed Moçambique , but with independence the name Mozambique was named for its capital throughout the country and province .",the,the,"[(13, 14)]","[(13, 14)]",0
"Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .","Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .",Curteis,Curteis,"[(10, 11)]","[(10, 11)]",0
Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .,Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .,Johnson,Johnson,"[(8, 9)]","[(8, 9)]",0
The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .,The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .,Izu,Izu,"[(12, 13)]","[(12, 13)]",0
"The photoelectric records were made by a partial reversal of the Tri-Ergon process , which was used to encode the audio track in the first place .","The photoelectric records were made by a partial reversal of the Tri-Ergon process , which was used to encode the audio track in the first place .",",",",","[(13, 14)]","[(13, 14)]",0
The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .,The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .,Nikolay,Nikolay,"[(13, 14)]","[(13, 14)]",0
Glauco Sansovini is together with Marco Conti captain Regent of San Marino for the semester from 1 April 2010 to 1 October 2010 .,Glauco Sansovini is together with Marco Conti captain Regent of San Marino for the semester from 1 April 2010 to 1 October 2010 .,for,for,"[(12, 13)]","[(12, 13)]",0
This is a list of the etymology of street names in the Covent Garden district of London .,This is a list of the etymology of street names in the Covent Garden district of London .,names,names,"[(9, 10)]","[(9, 10)]",0
"Toronto Maple Leafs founder Conn Smythe , team owner Harold Ballard and wrestler Whipper Billy Watson helped Rumball to raise the $ 7.6 million to open the centre .","Toronto Maple Leafs founder Conn Smythe , team owner Harold Ballard and wrestler Whipper Billy Watson helped Rumball to raise the $ 7.6 million to open the centre .",Billy,Billy,"[(14, 15)]","[(14, 15)]",0
The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .,The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .,lyrics,lyrics,"[(9, 10)]","[(9, 10)]",0
"They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .","They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .",emerged,emerged,"[(8, 9)]","[(8, 9)]",0
"According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .","According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .",area,area,"[(14, 15)]","[(14, 15)]",0
"As part of the established logistics support system for the major platforms , ST Kinetics has integrated MRO services under its Kinetics Integrated Services ( KIS ) arm .","As part of the established logistics support system for the major platforms , ST Kinetics has integrated MRO services under its Kinetics Integrated Services ( KIS ) arm .",Kinetics,Kinetics,"[(14, 15)]","[(14, 15)]",0
Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .,Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .,Cincinnati,Cincinnati,"[(8, 9)]","[(8, 9)]",0
He graduated in 1976 from Kansas Newman College and from the Washburn Law School in 1979 .,He graduated in 1976 from Kansas Newman College and from the Washburn Law School in 1979 .,and,and,"[(8, 9)]","[(8, 9)]",0
"SDUU currently has branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .","SDUU currently has branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .",Kalmar,Kalmar,"[(11, 12)]","[(11, 12)]",0
"Fowler married Sarah Sloane , daughter of Hans Sloane and niece of Sir William Sloane , who had two sons and a daughter .","Fowler married Sarah Sloane , daughter of Hans Sloane and niece of Sir William Sloane , who had two sons and a daughter .",Sir,Sir,"[(12, 13)]","[(12, 13)]",0
The Banach -- Mackey topology and the weak Arens space topology are relatively rarely used .,The Banach -- Mackey topology and the weak Arens space topology are relatively rarely used .,Arens,Arens,"[(8, 9)]","[(8, 9)]",0
"In 2012 , Duncan appeared next to Romola Garai in Scrubber , a film by Amanda Hale written and directed .","In 2012 , Duncan appeared next to Romola Garai in Scrubber , a film by Amanda Hale written and directed .",Scrubber,Scrubber,"[(10, 11)]","[(10, 11)]",0
"Until 1798 , he studied in Dresden before settling in Copenhagen .","Until 1798 , he studied in Dresden before settling in Copenhagen .",Dresden,Dresden,"[(6, 7)]","[(6, 7)]",0
South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .,South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .,is,is,"[(11, 12)]","[(11, 12)]",0
"Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .","Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .",glass,glass,"[(14, 15)]","[(14, 15)]",0
"Rock Lake is a lake in Lyon County , in the U.S. state of Minnesota .","Rock Lake is a lake in Lyon County , in the U.S. state of Minnesota .",",",",","[(8, 9)]","[(8, 9)]",0
Now Hawkgirl is 100 % Kendra Saunders .,Now Hawkgirl is 100 % Kendra Saunders .,%,%,"[(4, 5)]","[(4, 5)]",0
"He was named `` Thomas '' for the friend of Henry David Thoreau , Thomas Cholmondeley , and '' Parker `` for Theodore Parker .","He was named `` Thomas '' for the friend of Henry David Thoreau , Thomas Cholmondeley , and '' Parker `` for Theodore Parker .",Thoreau,Thoreau,"[(12, 13)]","[(12, 13)]",0
"Roxburgh Junction railway station served on the Kelso Line , and was the village of Roxburgh , Scottish Borders , from 1850 to 1964 .","Roxburgh Junction railway station served on the Kelso Line , and was the village of Roxburgh , Scottish Borders , from 1850 to 1964 .",the,the,"[(12, 13)]","[(12, 13)]",0
"Cornelis van Cleve painted primarily mythological paintings and , to a lesser extent , religious scenes and portraits .","Cornelis van Cleve painted primarily mythological paintings and , to a lesser extent , religious scenes and portraits .",to,to,"[(9, 10)]","[(9, 10)]",0
Their skin also secretes chemicals that are poisonous and sometimes harmful to predators .,Their skin also secretes chemicals that are poisonous and sometimes harmful to predators .,poisonous,poisonous,"[(7, 8)]","[(7, 8)]",0
Now resolve the indifference bid price for Formula 31 to solve .,Now resolve the indifference bid price for Formula 31 to solve .,for,for,"[(6, 7)]","[(6, 7)]",0
The static component is the entire soil resistance minus the dynamic component .,The static component is the entire soil resistance minus the dynamic component .,soil,soil,"[(6, 7)]","[(6, 7)]",0
"In rats , it also inhibits the central , if not peripheral , secretion of oxytocin and vasopressin .","In rats , it also inhibits the central , if not peripheral , secretion of oxytocin and vasopressin .",if,if,"[(9, 10)]","[(9, 10)]",0
"In other words , `` die '' or `` remember that you will remember '' .","In other words , `` die '' or `` remember that you will remember '' .",``,``,"[(8, 9)]","[(8, 9)]",0
"On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .","On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .",Roumare,Roumare,"[(10, 11)]","[(10, 11)]",0
"These changes include blebbing , cell shrinkage , nuclear fragmentation , chromatin condensation , chromosomal DNA fragmentation , and global mRNA decay .","These changes include blebbing , cell shrinkage , nuclear fragmentation , chromatin condensation , chromosomal DNA fragmentation , and global mRNA decay .",chromatin,chromatin,"[(11, 12)]","[(11, 12)]",0
"The old high school became the Upper School , while the new building became lower school .","The old high school became the Upper School , while the new building became lower school .",",",",","[(8, 9)]","[(8, 9)]",0
"The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .","The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .",",",",","[(9, 10)]","[(9, 10)]",0
"On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .","On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .",to,to,"[(12, 13)]","[(12, 13)]",0
"Elena Dementieva won in the final 6 -- 3 , 6 -- 2 , against Alisa Kleybanova .","Elena Dementieva won in the final 6 -- 3 , 6 -- 2 , against Alisa Kleybanova .",",",",","[(9, 10)]","[(9, 10)]",0
RCMP referred the Senate to all 30 cases .,RCMP referred the Senate to all 30 cases .,to,to,"[(4, 5)]","[(4, 5)]",0
"Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .","Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .",a,a,"[(14, 15)]","[(14, 15)]",0
"Ballarat has a healthy environment in comparison to Melbourne ; however , as a growing regional city there are issues including pollution , waterway health and invasive species .","Ballarat has a healthy environment in comparison to Melbourne ; however , as a growing regional city there are issues including pollution , waterway health and invasive species .",growing,growing,"[(14, 15)]","[(14, 15)]",0
Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .,Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .,and,and,"[(9, 10)]","[(9, 10)]",0
The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .,Yatsiv,Yatsiv,"[(9, 10)]","[(9, 10)]",0
"Dhonoura is a village in the Berasia district of Madhya Pradesh , India . It is located in the Bhopal tehsil .","Dhonoura is a village in the Berasia district of Madhya Pradesh , India . It is located in the Bhopal tehsil .",",",",","[(11, 12)]","[(11, 12)]",0
"It was launched on July 28 , 1941 and completed in August .","It was launched on July 28 , 1941 and completed in August .",",",",","[(6, 7)]","[(6, 7)]",0
It was climbed freely and named after Bill House when he first climbed it in 1938 .,It was climbed freely and named after Bill House when he first climbed it in 1938 .,House,House,"[(8, 9)]","[(8, 9)]",0
"Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .","Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .",Inch,Inch,"[(14, 15)]","[(14, 15)]",0
"It is found in the Zimbabwe , the central province of Midlands .","It is found in the Zimbabwe , the central province of Midlands .",",",",","[(6, 7)]","[(6, 7)]",0
"He is a sculptor who has created several monumental sculptures , including the award-winning `` Sentinel '' .","He is a sculptor who has created several monumental sculptures , including the award-winning `` Sentinel '' .",sculptures,sculptures,"[(9, 10)]","[(9, 10)]",0
"English also has many words , such as '' zillion `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .","English also has many words , such as '' zillion `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .",informally,informally,"[(14, 15)]","[(14, 15)]",0
"Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .","Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .",4,4,"[(8, 9)]","[(8, 9)]",0
Afterwards she taught at secondary schools in Derbyshire and then in Yorkshire .,Afterwards she taught at secondary schools in Derbyshire and then in Yorkshire .,in,in,"[(6, 7)]","[(6, 7)]",0
"It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .","It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .",Real,Real,"[(11, 12)]","[(11, 12)]",0
"Kelly Shane Brooks ( born March 18 , 1974 , Breckenridge , Texas ) is a former American country music artist who recorded under the name Shane Stockton .","Kelly Shane Brooks ( born March 18 , 1974 , Breckenridge , Texas ) is a former American country music artist who recorded under the name Shane Stockton .",is,is,"[(14, 15)]","[(14, 15)]",0
The Italian church St. Giovanni Bosco is named after St. John Bosco .,The Italian church St. Giovanni Bosco is named after St. John Bosco .,is,is,"[(6, 7)]","[(6, 7)]",0
Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .,Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .,school,school,"[(7, 8)]","[(7, 8)]",0
Then Scott and Short traveled overland to the Kentucky River to claim the land that they would investigate later .,Then Scott and Short traveled overland to the Kentucky River to claim the land that they would investigate later .,to,to,"[(10, 11)]","[(10, 11)]",0
Wollstonecraft arrived in Grenada on board the ship `` Sydney '' on 31 August 1819 .,Wollstonecraft arrived in Grenada on board the ship `` Sydney '' on 31 August 1819 .,``,``,"[(8, 9)]","[(8, 9)]",0
"In many provinces , mosques were bombed and Hui was slaughtered or destroyed by Japanese troops .","In many provinces , mosques were bombed and Hui was slaughtered or destroyed by Japanese troops .",Hui,Hui,"[(8, 9)]","[(8, 9)]",0
"Pat Cash and Patrick Rafter won 3 -- 6 , 6 -- 1 , 6 -- 3 against Jan Apell and Brent Haygarth in the finals .","Pat Cash and Patrick Rafter won 3 -- 6 , 6 -- 1 , 6 -- 3 against Jan Apell and Brent Haygarth in the finals .",",",",","[(13, 14)]","[(13, 14)]",0
"Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .","Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .",father,father,"[(11, 12)]","[(11, 12)]",0
"The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .","The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .",(,(,"[(10, 11)]","[(10, 11)]",0
Edward J. McKenna was a professional baseball player who played for the 1884 Union Association of the Washington National in 32 matches .,Edward J. McKenna was a professional baseball player who played for the 1884 Union Association of the Washington National in 32 matches .,the,the,"[(11, 12)]","[(11, 12)]",0
"Nick Frangos ( born Atlantic City , New Jersey ) is a professional poker player who plays in White Plains , New York .","Nick Frangos ( born Atlantic City , New Jersey ) is a professional poker player who plays in White Plains , New York .",professional,professional,"[(12, 13)]","[(12, 13)]",0
"The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .","The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .",1638,1638,"[(9, 10)]","[(9, 10)]",0
"His second wife was Anna Williams , sister of his first wife .","His second wife was Anna Williams , sister of his first wife .",",",",","[(6, 7)]","[(6, 7)]",0
He was ordered to New Mexico Territory in 1860 and promoted to the rank of captain on December 20 at the 4th Infantry .,He was ordered to New Mexico Territory in 1860 and promoted to the rank of captain on December 20 at the 4th Infantry .,the,the,"[(12, 13)]","[(12, 13)]",0
"Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .","Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .",gastropod,gastropod,"[(11, 12)]","[(11, 12)]",0
It was directed by Nicholas Paleologos and produced by Joanna Lipper .,It was directed by Nicholas Paleologos and produced by Joanna Lipper .,and,and,"[(6, 7)]","[(6, 7)]",0
ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .,ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .,financial,financial,"[(13, 14)]","[(13, 14)]",0
"The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .","The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .",Gunawardena,Gunawardena,"[(11, 12)]","[(11, 12)]",0
"Morton was the son of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .","Morton was the son of John Morton , a Member of Parliament for Shaftesbury , and the nephew of William Morton , the Archbishop of Canterbury .",Shaftesbury,Shaftesbury,"[(13, 14)]","[(13, 14)]",0
"For example , the spin case also allows a magnetic dipole , but for spin 1 particles electric quadrupoles and magnetic dipoles are only possible .","For example , the spin case also allows a magnetic dipole , but for spin 1 particles electric quadrupoles and magnetic dipoles are only possible .",for,for,"[(13, 14)]","[(13, 14)]",0
See : 33rd Canadian parliament then 32nd Canadian parliament,See : 33rd Canadian parliament then 32nd Canadian parliament,parliament,parliament,"[(4, 5)]","[(4, 5)]",0
